country	year	pop
Albania	2007	3600523
Albania	2008	3619778
Algeria	1950	8892718
Algeria	1951	9073304
Algeria	1952	9279525
Algeria	1953	9531710
Algeria	1954	9611093
Algeria	1955	9841851
Algeria	1956	10057133
Algeria	1957	10270856
Algeria	1958	10484925
Algeria	1959	10696396
Algeria	1960	10909294
Algeria	1961	11121645
Algeria	1962	11000948
Algeria	1963	11272878
Algeria	1964	11612858
Algeria	1965	11963091
Algeria	1966	12339140
Algeria	1967	12760499
Algeria	1968	13146267
Algeria	1969	13528304
Algeria	1970	13931846
Algeria	1971	14335388
Algeria	1972	14760787
Algeria	1973	15197724
Algeria	1974	15653200
Algeria	1975	16140252
Algeria	1976	16634618
Algeria	1977	17152804
Algeria	1978	17685768
Algeria	1979	18229932
Algeria	1980	18806061
Algeria	1981	19407036
Algeria	1982	20033753
Algeria	1983	20680982
Algeria	1984	21340546
Algeria	1985	22008450
Algeria	1986	22642538
Algeria	1987	23254956
Algeria	1988	23883858
Algeria	1989	24500650
Algeria	1990	25093154
Algeria	1991	25689444
Algeria	1992	26298373
Algeria	1993	26914091
Algeria	1994	27517041
Algeria	1995	28082573
Algeria	1996	28595073
Algeria	1997	29072015
Algeria	1998	29521270
Algeria	1999	29962690
Algeria	2000	30409300
Algeria	2001	30851518
Algeria	2002	31287142
Algeria	2003	31713719
Algeria	2004	32129324
Algeria	2005	32531853
Algeria	2006	32930091
Algeria	2007	33333216
Algeria	2008	33739635
American Samoa	1950	19100
American Samoa	1951	19500
American Samoa	1952	19300
American Samoa	1953	19200
American Samoa	1954	19500
American Samoa	1955	19800
American Samoa	1956	20100
American Samoa	1957	20300
American Samoa	1958	20500
American Samoa	1959	20400
American Samoa	1960	20000
American Samoa	1961	19900
American Samoa	1962	21000
American Samoa	1963	23100
American Samoa	1964	23200
American Samoa	1965	24600
American Samoa	1966	26700
American Samoa	1967	25100
American Samoa	1968	28100
American Samoa	1969	30400
American Samoa	1970	27267
American Samoa	1971	27731
American Samoa	1972	28202
American Samoa	1973	28612
American Samoa	1974	29057
American Samoa	1975	29640
American Samoa	1976	30272
American Samoa	1977	30839
American Samoa	1978	31411
American Samoa	1979	31964
American Samoa	1980	32418
American Samoa	1981	33595
American Samoa	1982	34706
American Samoa	1983	35838
American Samoa	1984	37092
American Samoa	1985	38633
American Samoa	1986	40164
American Samoa	1987	41876
American Samoa	1988	43623
American Samoa	1989	45384
American Samoa	1990	47199
American Samoa	1991	48529
American Samoa	1992	49872
American Samoa	1993	51256
American Samoa	1994	52561
American Samoa	1995	53686
American Samoa	1996	54690
American Samoa	1997	55648
American Samoa	1998	56559
American Samoa	1999	57423
American Samoa	2000	57301
American Samoa	2001	57529
American Samoa	2002	57716
American Samoa	2003	57844
American Samoa	2004	57902
American Samoa	2005	57881
American Samoa	2006	57794
American Samoa	2007	57663
American Samoa	2008	57496
Andorra	1950	6176
Andorra	1951	6310
Andorra	1952	5866
Andorra	1953	5591
Andorra	1954	5503
Andorra	1955	6189
Andorra	1956	6221
Andorra	1957	6424
Andorra	1958	7103
Andorra	1959	7239
Andorra	1960	8392
Andorra	1961	8959
Andorra	1962	10317
Andorra	1963	11356
Andorra	1964	12199
Andorra	1965	13623
Andorra	1966	14380
Andorra	1967	15563
Andorra	1968	17216
Andorra	1969	18233
Andorra	1970	19545
Andorra	1971	20550
Andorra	1972	21425
Andorra	1973	23092
Andorra	1974	24807
Andorra	1975	26558
Andorra	1976	28500
Andorra	1977	29396
Andorra	1978	30321
Andorra	1979	31274
Andorra	1980	33584
Andorra	1981	37825
Andorra	1982	39940
Andorra	1983	41627
Andorra	1984	42712
Andorra	1985	44596
Andorra	1986	46476
Andorra	1987	47671
Andorra	1988	49365
Andorra	1989	50516
Andorra	1990	52837
Andorra	1991	57558
Andorra	1992	61496
Andorra	1993	64980
Andorra	1994	64877
Andorra	1995	64276
Andorra	1996	64170
Andorra	1997	64573
Andorra	1998	65147
Andorra	1999	65997
Andorra	2000	66824
Andorra	2001	67627
Andorra	2002	68403
Andorra	2003	69150
Andorra	2004	69865
Andorra	2005	70549
Andorra	2006	71201
Andorra	2007	71822
Andorra	2008	72413
Angola	1950	4117617
Angola	1951	4173095
Angola	1952	4232095
Angola	1953	4293840
Angola	1954	4357527
Angola	1955	4423223
Angola	1956	4490992
Angola	1957	4561361
Angola	1958	4635885
Angola	1959	4714676
Angola	1960	4797344
Angola	1961	4752489
Angola	1962	4826015
Angola	1963	4919586
Angola	1964	5026044
Angola	1965	5134818
Angola	1966	5201250
Angola	1967	5247469
Angola	1968	5350384
Angola	1969	5471641
Angola	1970	5605626
Angola	1971	5752775
Angola	1972	5894858
Angola	1973	6025841
Angola	1974	5986432
Angola	1975	5884241
Angola	1976	5942225
Angola	1977	6162675
Angola	1978	6285716
Angola	1979	6451227
Angola	1980	6741465
Angola	1981	6877697
Angola	1982	7016384
Angola	1983	7238214
Angola	1984	7439658
Angola	1985	7581504
Angola	1986	7744932
Angola	1987	7874230
Angola	1988	8018724
Angola	1989	8148595
Angola	1990	8290856
Angola	1991	8490763
Angola	1992	8735988
Angola	1993	8961438
Angola	1994	9170032
Angola	1995	9421477
Angola	1996	9660081
Angola	1997	9875024
Angola	1998	10071442
Angola	1999	10263229
Angola	2000	10442812
Angola	2001	10623424
Angola	2002	10866106
Angola	2003	11186202
Angola	2004	11521432
Angola	2005	11827315
Angola	2006	12127071
Angola	2007	12420476
Angola	2008	12707546
Anguilla	1950	5219
Anguilla	1951	5261
Anguilla	1952	5303
Anguilla	1953	5345
Anguilla	1954	5387
Anguilla	1955	5430
Anguilla	1956	5473
Anguilla	1957	5516
Anguilla	1958	5560
Anguilla	1959	5604
Anguilla	1960	5648
Anguilla	1961	5690
Anguilla	1962	5733
Anguilla	1963	5776
Anguilla	1964	5819
Anguilla	1965	5863
Anguilla	1966	5907
Anguilla	1967	5951
Anguilla	1968	5996
Anguilla	1969	6041
Anguilla	1970	6100
Anguilla	1971	6208
Anguilla	1972	6318
Anguilla	1973	6430
Anguilla	1974	6269
Anguilla	1975	6309
Anguilla	1976	6350
Anguilla	1977	6390
Anguilla	1978	6431
Anguilla	1979	6473
Anguilla	1980	6515
Anguilla	1981	6557
Anguilla	1982	6599
Anguilla	1983	6642
Anguilla	1984	6688
Anguilla	1985	6912
Anguilla	1986	7138
Anguilla	1987	7367
Anguilla	1988	7654
Anguilla	1989	7998
Anguilla	1990	8343
Anguilla	1991	8691
Anguilla	1992	9038
Anguilla	1993	9382
Anguilla	1994	9726
Anguilla	1995	10070
Anguilla	1996	10414
Anguilla	1997	10760
Anguilla	1998	11105
Anguilla	1999	11451
Anguilla	2000	11797
Anguilla	2001	12132
Anguilla	2002	12446
Anguilla	2003	12738
Anguilla	2004	13008
Anguilla	2005	13254
Anguilla	2006	13477
Anguilla	2007	13677
Anguilla	2008	13854
Antigua and Barbuda	1950	45816
Antigua and Barbuda	1951	46901
Antigua and Barbuda	1952	47961
Antigua and Barbuda	1953	48976
Antigua and Barbuda	1954	49967
Antigua and Barbuda	1955	51046
Antigua and Barbuda	1956	52191
Antigua and Barbuda	1957	53138
Antigua and Barbuda	1958	53788
Antigua and Barbuda	1959	54149
Antigua and Barbuda	1960	54500
Antigua and Barbuda	1961	55650
Antigua and Barbuda	1962	56825
Antigua and Barbuda	1963	58025
Antigua and Barbuda	1964	58650
Antigua and Barbuda	1965	59290
Antigua and Barbuda	1966	60545
Antigua and Barbuda	1967	61825
Antigua and Barbuda	1968	63135
Antigua and Barbuda	1969	64475
Antigua and Barbuda	1970	65624
Antigua and Barbuda	1971	66354
Antigua and Barbuda	1972	67016
Antigua and Barbuda	1973	67532
Antigua and Barbuda	1974	67836
Antigua and Barbuda	1975	68041
Antigua and Barbuda	1976	68361
Antigua and Barbuda	1977	68637
Antigua and Barbuda	1978	68608
Antigua and Barbuda	1979	68519
Antigua and Barbuda	1980	68546
Antigua and Barbuda	1981	68264
Antigua and Barbuda	1982	68008
Antigua and Barbuda	1983	65434
Antigua and Barbuda	1984	64105
Antigua and Barbuda	1985	63852
Antigua and Barbuda	1986	63675
Antigua and Barbuda	1987	63510
Antigua and Barbuda	1988	63339
Antigua and Barbuda	1989	63118
Antigua and Barbuda	1990	62721
Antigua and Barbuda	1991	62410
Antigua and Barbuda	1992	62453
Antigua and Barbuda	1993	62724
Antigua and Barbuda	1994	63126
Antigua and Barbuda	1995	63630
Antigua and Barbuda	1996	64181
Antigua and Barbuda	1997	64774
Antigua and Barbuda	1998	65366
Antigua and Barbuda	1999	65929
Antigua and Barbuda	2000	66464
Antigua and Barbuda	2001	66970
Antigua and Barbuda	2002	67448
Antigua and Barbuda	2003	67897
Antigua and Barbuda	2004	68320
Antigua and Barbuda	2005	68722
Antigua and Barbuda	2006	69108
Antigua and Barbuda	2007	69481
Antigua and Barbuda	2008	69842
Argentina	1950	17150336
Argentina	1951	17517342
Argentina	1952	17876956
Argentina	1953	18230816
Argentina	1954	18580559
Argentina	1955	18927821
Argentina	1956	19271511
Argentina	1957	19610538
Argentina	1958	19946539
Argentina	1959	20281150
Argentina	1960	20616009
Argentina	1961	20950583
Argentina	1962	21283783
Argentina	1963	21616403
Argentina	1964	21949244
Argentina	1965	22283100
Argentina	1966	22611604
Argentina	1967	22934225
Argentina	1968	23260514
Argentina	1969	23600026
Argentina	1970	23962313
Argentina	1971	24363816
Argentina	1972	24779799
Argentina	1973	25209829
Argentina	1974	25646371
Argentina	1975	26081880
Argentina	1976	26531280
Argentina	1977	26983828
Argentina	1978	27440272
Argentina	1979	27901971
Argentina	1980	28369799
Argentina	1981	28862831
Argentina	1982	29341374
Argentina	1983	29801763
Argentina	1984	30235573
Argentina	1985	30675059
Argentina	1986	31145966
Argentina	1987	31620918
Argentina	1988	32090943
Argentina	1989	32558573
Argentina	1990	33022202
Argentina	1991	33491595
Argentina	1992	33958947
Argentina	1993	34411978
Argentina	1994	34864440
Argentina	1995	35311049
Argentina	1996	35753590
Argentina	1997	36203463
Argentina	1998	36643768
Argentina	1999	37073828
Argentina	2000	37497728
Argentina	2001	37916560
Argentina	2002	38331121
Argentina	2003	38740807
Argentina	2004	39144753
Argentina	2005	39537943
Argentina	2006	39921833
Argentina	2007	40301927
Argentina	2008	40677348
Armenia	1950	1355269
Armenia	1951	1379204
Armenia	1952	1416722
Armenia	1953	1455777
Armenia	1954	1505668
Armenia	1955	1565329
Armenia	1956	1617460
Armenia	1957	1672403
Armenia	1958	1733125
Armenia	1959	1796363
Armenia	1960	1868852
Armenia	1961	1943799
Armenia	1962	2006853
Armenia	1963	2065618
Armenia	1964	2134940
Armenia	1965	2205833
Armenia	1966	2273695
Armenia	1967	2338063
Armenia	1968	2402358
Armenia	1969	2463153
Armenia	1970	2519745
Armenia	1971	2581671
Armenia	1972	2647035
Armenia	1973	2712997
Armenia	1974	2776539
Armenia	1975	2834136
Armenia	1976	2892704
Armenia	1977	2954907
Armenia	1978	3014042
Armenia	1979	3066726
Armenia	1980	3115289
Armenia	1981	3166098
Armenia	1982	3218691
Armenia	1983	3270153
Armenia	1984	3322394
Armenia	1985	3373532
Armenia	1986	3421978
Armenia	1987	3468857
Armenia	1988	3515614
Armenia	1989	3325992
Armenia	1990	3376783
Armenia	1991	3437479
Armenia	1992	3378331
Armenia	1993	3231570
Armenia	1994	3126094
Armenia	1995	3068751
Armenia	1996	3063395
Armenia	1997	3059000
Armenia	1998	3049147
Armenia	1999	3047620
Armenia	2000	3042556
Armenia	2001	3027590
Armenia	2002	3013818
Armenia	2003	3001712
Armenia	2004	2991360
Armenia	2005	2982904
Armenia	2006	2976372
Armenia	2007	2971650
Armenia	2008	2968586
Aruba	1950	49712
Aruba	1951	51335
Aruba	1952	51955
Aruba	1953	52585
Aruba	1954	53220
Aruba	1955	53865
Aruba	1956	54516
Aruba	1957	55176
Aruba	1958	55843
Aruba	1959	56518
Aruba	1960	57203
Aruba	1961	57008
Aruba	1962	57681
Aruba	1963	58541
Aruba	1964	59091
Aruba	1965	59020
Aruba	1966	58632
Aruba	1967	58316
Aruba	1968	58149
Aruba	1969	58424
Aruba	1970	59039
Aruba	1971	59397
Aruba	1972	59461
Aruba	1973	59609
Aruba	1974	59555
Aruba	1975	59390
Aruba	1976	59337
Aruba	1977	59412
Aruba	1978	59481
Aruba	1979	59741
Aruba	1980	60266
Aruba	1981	60717
Aruba	1982	61569
Aruba	1983	62483
Aruba	1984	63337
Aruba	1985	64129
Aruba	1986	64817
Aruba	1987	65415
Aruba	1988	65922
Aruba	1989	66335
Aruba	1990	66653
Aruba	1991	66919
Aruba	1992	67174
Aruba	1993	67414
Aruba	1994	67636
Aruba	1995	67836
Aruba	1996	68057
Aruba	1997	68341
Aruba	1998	68683
Aruba	1999	69083
Aruba	2000	69539
Aruba	2001	70007
Aruba	2002	70441
Aruba	2003	70844
Aruba	2004	71218
Aruba	2005	71566
Aruba	2006	71891
Aruba	2007	72194
Aruba	2008	72480
Australia	1950	8267337
Australia	1951	8510600
Australia	1952	8691212
Australia	1953	8857924
Australia	1954	9064017
Australia	1955	9277087
Australia	1956	9500606
Australia	1957	9712569
Australia	1958	9915267
Australia	1959	10131729
Australia	1960	10361273
Australia	1961	10598814
Australia	1962	10794968
Australia	1963	11001483
Australia	1964	11218304
Australia	1965	11439384
Australia	1966	11655083
Australia	1967	11872264
Australia	1968	12101660
Australia	1969	12379384
Australia	1970	12660160
Australia	1971	12937200
Australia	1972	13177000
Australia	1973	13380400
Australia	1974	13599100
Australia	1975	13771400
Australia	1976	13915500
Australia	1977	14074100
Australia	1978	14248600
Australia	1979	14421900
Australia	1980	14615900
Australia	1981	14923260
Australia	1982	15184200
Australia	1983	15393500
Australia	1984	15579400
Australia	1985	15788300
Australia	1986	16018350
Australia	1987	16257249
Australia	1988	16520206
Australia	1989	16780235
Australia	1990	17022133
Australia	1991	17257526
Australia	1992	17481977
Australia	1993	17688687
Australia	1994	17892557
Australia	1995	18116171
Australia	1996	18348078
Australia	1997	18565243
Australia	1998	18768789
Australia	1999	18968247
Australia	2000	19164620
Australia	2001	19357594
Australia	2002	19546792
Australia	2003	19731984
Australia	2004	19913144
Australia	2005	20090437
Australia	2006	20264082
Australia	2007	20434176
Australia	2008	20600856
Austria	1950	6935100
Austria	1951	6935451
Austria	1952	6927772
Austria	1953	6932483
Austria	1954	6940209
Austria	1955	6946885
Austria	1956	6952359
Austria	1957	6965860
Austria	1958	6987358
Austria	1959	7014331
Austria	1960	7047437
Austria	1961	7086299
Austria	1962	7129864
Austria	1963	7175811
Austria	1964	7223801
Austria	1965	7270889
Austria	1966	7322066
Austria	1967	7376998
Austria	1968	7415403
Austria	1969	7441055
Austria	1970	7467086
Austria	1971	7500482
Austria	1972	7544201
Austria	1973	7586115
Austria	1974	7599038
Austria	1975	7578903
Austria	1976	7565525
Austria	1977	7568430
Austria	1978	7562305
Austria	1979	7549425
Austria	1980	7549433
Austria	1981	7564629
Austria	1982	7574613
Austria	1983	7552896
Austria	1984	7554132
Austria	1985	7559776
Austria	1986	7568242
Austria	1987	7578903
Austria	1988	7599791
Austria	1989	7627861
Austria	1990	7722953
Austria	1991	7818423
Austria	1992	7914969
Austria	1993	7988599
Austria	1994	8027540
Austria	1995	8047433
Austria	1996	8060852
Austria	1997	8069876
Austria	1998	8078622
Austria	1999	8094156
Austria	2000	8113413
Austria	2001	8131690
Austria	2002	8148312
Austria	2003	8162656
Austria	2004	8174762
Austria	2005	8184691
Austria	2006	8192880
Austria	2007	8199783
Austria	2008	8205533
Azerbaijan	1950	2885332
Azerbaijan	1951	2983082
Azerbaijan	1952	3090973
Azerbaijan	1953	3158974
Azerbaijan	1954	3222581
Azerbaijan	1955	3313718
Azerbaijan	1956	3416717
Azerbaijan	1957	3526313
Azerbaijan	1958	3630590
Azerbaijan	1959	3740596
Azerbaijan	1960	3881546
Azerbaijan	1961	4033503
Azerbaijan	1962	4157301
Azerbaijan	1963	4283470
Azerbaijan	1964	4430183
Azerbaijan	1965	4566962
Azerbaijan	1966	4701730
Azerbaijan	1967	4827284
Azerbaijan	1968	4945231
Azerbaijan	1969	5059334
Azerbaijan	1970	5168973
Azerbaijan	1971	5283659
Azerbaijan	1972	5393681
Azerbaijan	1973	5497774
Azerbaijan	1974	5599407
Azerbaijan	1975	5696117
Azerbaijan	1976	5789818
Azerbaijan	1977	5886578
Azerbaijan	1978	5986427
Azerbaijan	1979	6082087
Azerbaijan	1980	6173361
Azerbaijan	1981	6270531
Azerbaijan	1982	6369133
Azerbaijan	1983	6470276
Azerbaijan	1984	6578901
Azerbaijan	1985	6681687
Azerbaijan	1986	6776473
Azerbaijan	1987	6873978
Azerbaijan	1988	6975798
Azerbaijan	1989	7101735
Azerbaijan	1990	7199838
Azerbaijan	1991	7308339
Azerbaijan	1992	7413618
Azerbaijan	1993	7497205
Azerbaijan	1994	7572945
Azerbaijan	1995	7630291
Azerbaijan	1996	7668253
Azerbaijan	1997	7695123
Azerbaijan	1998	7714005
Azerbaijan	1999	7729131
Azerbaijan	2000	7748163
Azerbaijan	2001	7771092
Azerbaijan	2002	7798497
Azerbaijan	2003	7830764
Azerbaijan	2004	7868385
Azerbaijan	2005	7911974
Azerbaijan	2006	7961619
Azerbaijan	2007	8017309
Azerbaijan	2008	8079043
Bahamas, The	1950	70498
Bahamas, The	1951	73229
Bahamas, The	1952	76217
Bahamas, The	1953	79487
Bahamas, The	1954	83062
Bahamas, The	1955	87138
Bahamas, The	1956	91596
Bahamas, The	1957	96485
Bahamas, The	1958	101676
Bahamas, The	1959	106931
Bahamas, The	1960	112234
Bahamas, The	1961	117565
Bahamas, The	1962	122902
Bahamas, The	1963	128225
Bahamas, The	1964	133605
Bahamas, The	1965	139205
Bahamas, The	1966	145065
Bahamas, The	1967	151120
Bahamas, The	1968	157435
Bahamas, The	1969	164012
Bahamas, The	1970	170323
Bahamas, The	1971	174220
Bahamas, The	1972	178332
Bahamas, The	1973	181985
Bahamas, The	1974	185499
Bahamas, The	1975	189139
Bahamas, The	1976	193257
Bahamas, The	1977	197499
Bahamas, The	1978	201499
Bahamas, The	1979	206150
Bahamas, The	1980	209944
Bahamas, The	1981	214710
Bahamas, The	1982	219682
Bahamas, The	1983	224719
Bahamas, The	1984	229819
Bahamas, The	1985	234988
Bahamas, The	1986	239832
Bahamas, The	1987	244042
Bahamas, The	1988	248063
Bahamas, The	1989	252424
Bahamas, The	1990	257253
Bahamas, The	1991	260335
Bahamas, The	1992	264085
Bahamas, The	1993	268189
Bahamas, The	1994	271881
Bahamas, The	1995	275303
Bahamas, The	1996	278571
Bahamas, The	1997	281577
Bahamas, The	1998	284505
Bahamas, The	1999	287358
Bahamas, The	2000	290075
Bahamas, The	2001	292663
Bahamas, The	2002	295131
Bahamas, The	2003	297477
Bahamas, The	2004	299697
Bahamas, The	2005	301790
Bahamas, The	2006	303770
Bahamas, The	2007	305655
Bahamas, The	2008	307451
Bahrain	1950	114840
Bahrain	1951	117580
Bahrain	1952	120447
Bahrain	1953	123469
Bahrain	1954	126708
Bahrain	1955	130253
Bahrain	1956	134207
Bahrain	1957	138655
Bahrain	1958	143798
Bahrain	1959	149769
Bahrain	1960	156648
Bahrain	1961	164334
Bahrain	1962	171863
Bahrain	1963	179108
Bahrain	1964	185691
Bahrain	1965	191378
Bahrain	1966	196706
Bahrain	1967	202182
Bahrain	1968	207811
Bahrain	1969	213596
Bahrain	1970	219543
Bahrain	1971	225375
Bahrain	1972	230800
Bahrain	1973	238977
Bahrain	1974	248343
Bahrain	1975	258789
Bahrain	1976	273661
Bahrain	1977	297410
Bahrain	1978	322535
Bahrain	1979	336070
Bahrain	1980	347568
Bahrain	1981	363427
Bahrain	1982	377967
Bahrain	1983	393022
Bahrain	1984	408282
Bahrain	1985	423950
Bahrain	1986	439556
Bahrain	1987	454612
Bahrain	1988	469484
Bahrain	1989	484791
Bahrain	1990	500476
Bahrain	1991	515234
Bahrain	1992	529491
Bahrain	1993	543998
Bahrain	1994	558397
Bahrain	1995	572639
Bahrain	1996	586047
Bahrain	1997	598561
Bahrain	1998	610767
Bahrain	1999	622634
Bahrain	2000	634137
Bahrain	2001	645361
Bahrain	2002	656397
Bahrain	2003	667238
Bahrain	2004	677886
Bahrain	2005	688345
Bahrain	2006	698585
Bahrain	2007	708573
Bahrain	2008	718306
Bangladesh	1950	45645964
Bangladesh	1951	46152281
Bangladesh	1952	46886859
Bangladesh	1953	47660488
Bangladesh	1954	48603271
Bangladesh	1955	49601520
Bangladesh	1956	50477738
Bangladesh	1957	51365468
Bangladesh	1958	52399182
Bangladesh	1959	53484608
Bangladesh	1960	54621538
Bangladesh	1961	55741313
Bangladesh	1962	56839289
Bangladesh	1963	58226108
Bangladesh	1964	59402546
Bangladesh	1965	60332117
Bangladesh	1966	61548117
Bangladesh	1967	62821884
Bangladesh	1968	64133002
Bangladesh	1969	65482564
Bangladesh	1970	67402621
Bangladesh	1971	69226511
Bangladesh	1972	70759295
Bangladesh	1973	72470813
Bangladesh	1974	74679411
Bangladesh	1975	76253310
Bangladesh	1976	77928480
Bangladesh	1977	80428306
Bangladesh	1978	82935511
Bangladesh	1979	85492214
Bangladesh	1980	88076996
Bangladesh	1981	90666000
Bangladesh	1982	93074406
Bangladesh	1983	95384346
Bangladesh	1984	97611763
Bangladesh	1985	99752733
Bangladesh	1986	101768861
Bangladesh	1987	103764241
Bangladesh	1988	105771136
Bangladesh	1989	107806550
Bangladesh	1990	109896945
Bangladesh	1991	111935847
Bangladesh	1992	113704579
Bangladesh	1993	115447696
Bangladesh	1994	117279697
Bangladesh	1995	119186448
Bangladesh	1996	121189286
Bangladesh	1997	123315288
Bangladesh	1998	125572731
Bangladesh	1999	127943283
Bangladesh	2000	130406594
Bangladesh	2001	132974813
Bangladesh	2002	135656790
Bangladesh	2003	138448210
Bangladesh	2004	141340476
Bangladesh	2005	144319628
Bangladesh	2006	147365352
Bangladesh	2007	150448339
Bangladesh	2008	153546901
Barbados	1950	210666
Barbados	1951	214729
Barbados	1952	217959
Barbados	1953	221303
Barbados	1954	225244
Barbados	1955	227255
Barbados	1956	225962
Barbados	1957	225569
Barbados	1958	227979
Barbados	1959	231394
Barbados	1960	232339
Barbados	1961	229597
Barbados	1962	228747
Barbados	1963	230738
Barbados	1964	233269
Barbados	1965	234980
Barbados	1966	236227
Barbados	1967	238224
Barbados	1968	239868
Barbados	1969	239321
Barbados	1970	238756
Barbados	1971	240606
Barbados	1972	242445
Barbados	1973	244127
Barbados	1974	245563
Barbados	1975	247147
Barbados	1976	248023
Barbados	1977	249169
Barbados	1978	250145
Barbados	1979	251145
Barbados	1980	251966
Barbados	1981	252376
Barbados	1982	253522
Barbados	1983	254918
Barbados	1984	256227
Barbados	1985	257446
Barbados	1986	258506
Barbados	1987	259428
Barbados	1988	260313
Barbados	1989	261441
Barbados	1990	262624
Barbados	1991	263693
Barbados	1992	264925
Barbados	1993	265977
Barbados	1994	266906
Barbados	1995	267907
Barbados	1996	268944
Barbados	1997	270096
Barbados	1998	271232
Barbados	1999	272364
Barbados	2000	273483
Barbados	2001	274584
Barbados	2002	275673
Barbados	2003	276761
Barbados	2004	277816
Barbados	2005	278870
Barbados	2006	279912
Barbados	2007	280946
Barbados	2008	281968
Belarus	1950	7722155
Belarus	1951	7742159
Belarus	1952	7698249
Belarus	1953	7666821
Belarus	1954	7698751
Belarus	1955	7780565
Belarus	1956	7856790
Belarus	1957	7912626
Belarus	1958	7982625
Belarus	1959	8075290
Belarus	1960	8167918
Belarus	1961	8262998
Belarus	1962	8365073
Belarus	1963	8438881
Belarus	1964	8501607
Belarus	1965	8590786
Belarus	1966	8694009
Belarus	1967	8786887
Belarus	1968	8864776
Belarus	1969	8946091
Belarus	1970	9027198
Belarus	1971	9101396
Belarus	1972	9169156
Belarus	1973	9236465
Belarus	1974	9304311
Belarus	1975	9360184
Belarus	1976	9405544
Belarus	1977	9457385
Belarus	1978	9520280
Belarus	1979	9581518
Belarus	1980	9643706
Belarus	1981	9712761
Belarus	1982	9778781
Belarus	1983	9845174
Belarus	1984	9914262
Belarus	1985	9981744
Belarus	1986	10044184
Belarus	1987	10097446
Belarus	1988	10149612
Belarus	1989	10184084
Belarus	1990	10215208
Belarus	1991	10244639
Belarus	1992	10306362
Belarus	1993	10360516
Belarus	1994	10387841
Belarus	1995	10403989
Belarus	1996	10408773
Belarus	1997	10404210
Belarus	1998	10394407
Belarus	1999	10382370
Belarus	2000	10366719
Belarus	2001	10350194
Belarus	2002	10335382
Belarus	2003	10322151
Belarus	2004	10310520
Belarus	2005	10300483
Belarus	2006	10293011
Belarus	2007	10289007
Belarus	2008	10287955
Belgium	1950	8639369
Belgium	1951	8678386
Belgium	1952	8730405
Belgium	1953	8777873
Belgium	1954	8819380
Belgium	1955	8868475
