country	gdpPercap	year
Montenegro	2835.133557	1950
Morocco	1683.101647	1950
Mozambique	450.7541544	1950
Myanmar	300	1950
Namibia	2388.80654	1950
Nepal	523.9764087	1950
Netherlands	8812.238998	1950
New Caledonia	9374.162815	1950
New Zealand	11449.3763	1950
Nicaragua	2646.802112	1950
Niger	732.2103363	1950
Nigeria	974.0248263	1950
Northern Mariana Islands	4465.14474	1950
Norway	9427.920942	1950
Oman	1681.630529	1950
Pakistan	739.1331327	1950
Panama	2500.031338	1950
Papua New Guinea	969.6203832	1950
Paraguay	2054.02978	1950
Peru	3486.911299	1950
Philippines	1148.807034	1950
Poland	3910.5593	1950
Portugal	2961.890656	1950
Puerto Rico	2822.052814	1950
Reunion	2637.687112	1950
Romania	2788.131177	1950
Russia	3674.952691	1950
Rwanda	470.3074334	1950
Saint Lucia	1399.325052	1950
Saint Vincent and the Grenadines	1630.373724	1950
Sao Tome and Principe	883.7215897	1950
Saudi Arabia	5834.364691	1950
Senegal	1401.003998	1950
Serbia	3835.160555	1950
Seychelles	4583.980897	1950
Sierra Leone	828.8771002	1950
Singapore	3533.036271	1950
Slovak Republic	4937.839017	1950
Slovenia	4513.624141	1950
Somalia	1079.207231	1950
South Africa	4575.118246	1950
Spain	3280.315024	1950
Sri Lanka	1033.499006	1950
Sudan	1551.835308	1950
Suriname	3201.442822	1950
Swaziland	1102.397435	1950
Sweden	8364.828768	1950
Switzerland	13867.60715	1950
Syria	1426.514259	1950
Taiwan	1064.100714	1950
Tajikistan	1910.975399	1950
Tanzania	654.2147474	1950
Thailand	712.3980906	1950
Timor-Leste	704.3545726	1950
Togo	832.0470191	1950
Trinidad and Tobago	2818.801129	1950
Tunisia	1341.824951	1950
Turkey	1641.27415	1950
Turkmenistan	2289.495527	1950
Uganda	759.8798137	1950
Ukraine	3601.453637	1950
United Kingdom	9766.503753	1950
United States	12922.2343	1950
Uruguay	5374.006496	1950
Uzbekistan	1545.052493	1950
Wallis et Futuna	1676.977439	1950
Venezuela	7375.069651	1950
West Bank and Gaza	1405.453874	1950
Vietnam	573.9445425	1950
Yemen, Rep.	771.3049623	1950
Zambia	1060.839861	1950
Zimbabwe	393.695429	1950
Afghanistan	766.7521974	1951
Albania	1598.49275	1951
Algeria	2397.531111	1951
Angola	3440.90139	1951
Argentina	6362.125843	1951
Australia	10160.73672	1951
Austria	6124.928282	1951
Bahrain	9508.373034	1951
Bangladesh	675.3403221	1951
Belgium	8393.415992	1951
Benin	1083.571326	1951
Bolivia	2653.570812	1951
Bosnia and Herzegovina	1069.497135	1951
Botswana	840.9433395	1951
Brazil	2020.233239	1951
Bulgaria	2567.424534	1951
Burkina Faso	529.6573811	1951
Burundi	334.7645231	1951
Cambodia	355.2124509	1951
Cameroon	1145.387048	1951
Canada	10932.46678	1951
Cape Verde	587.251479	1951
Central African Rep.	1046.826979	1951
Chad	1153.462234	1951
Chile	3775.990775	1951
China	456.5700738	1951
Colombia	2079.140009	1951
Comoros	1090.8497	1951
Congo, Dem. Rep.	729.0982963	1951
Congo, Rep.	2086.264369	1951
Costa Rica	2425.020662	1951
Cote d'Ivoire	1366.569444	1951
Croatia	3426.708549	1951
Cuba	5507.890574	1951
Czech Rep.	6734.885719	1951
Denmark	9666.254146	1951
Djibouti	2655.011623	1951
Dominican Rep.	1331.030645	1951
Ecuador	3217.462996	1951
Egypt	1426.12355	1951
El Salvador	2911.202079	1951
Equatorial Guinea	368.4504117	1951
Eritrea	325.2838876	1951
Ethiopia	358.1204785	1951
Finland	6282.553916	1951
France	6913.756537	1951
Gabon	4166.217029	1951
Gambia	481.7884728	1951
Germany	6599.918017	1951
Ghana	952.972035	1951
Greece	3545.379235	1951
Guatemala	2448.637595	1951
Guinea	502.270309	1951
Guinea-Bissau	283.8987892	1951
Haiti	1771.237131	1951
Honduras	2175.903827	1951
Hong Kong, China	2949.187908	1951
Hungary	5135.947955	1951
Iceland	7468.805837	1951
India	540.9036559	1951
Indonesia	744.2768759	1951
Iran	3118.933352	1951
Iraq	3819.066167	1951
Ireland	5069.589769	1951
Isle of Man	5678.624887	1951
Israel	4261.848415	1951
Italy	4719.636757	1951
Jamaica	2721.405263	1951
Japan	2926.689586	1951
Jordan	1519.549711	1951
Kenya	986.6038802	1951
Korea, Dem. Rep.	1024.772409	1951
Korea, Rep.	971.053784	1951
Kuwait	107493.38	1951
Laos	783.0490935	1951
Lebanon	4659.463759	1951
Lesotho	294.5960766	1951
Liberia	571.8539742	1951
Libya	2270.248758	1951
Luxembourg	13543.16927	1951
Macedonia, FYR	2093.807316	1951
Madagascar	1413.634036	1951
Malawi	360.937884	1951
Malaysia	1792.006029	1951
Mali	445.1632829	1951
Mauritania	723.0724263	1951
Mauritius	1977.129164	1951
Mexico	3447.105119	1951
Mongolia	761.5809281	1951
Montenegro	2908.565656	1951
Morocco	1686.174875	1951
Mozambique	459.5173418	1951
Myanmar	334	1951
Namibia	2406.471608	1951
Nepal	533.4404401	1951
Netherlands	8892.34982	1951
New Zealand	10362.9881	1951
Nicaragua	2742.435812	1951
Niger	747.1751272	1951
Nigeria	1026.04557	1951
Norway	9845.992115	1951
Oman	1753.060154	1951
Pakistan	698.3554829	1951
Panama	2415.691283	1951
Paraguay	2038.810627	1951
Peru	3665.313789	1951
Philippines	1235.015321	1951
Poland	4011.796089	1951
Portugal	3077.244823	1951
Puerto Rico	2903.069603	1951
Reunion	2710.188261	1951
Romania	2962.119203	1951
Rwanda	487.8194444	1951
Sao Tome and Principe	880.978212	1951
Saudi Arabia	6208.712386	1951
Senegal	1426.067816	1951
Serbia	3934.494108	1951
Seychelles	4839.090809	1951
Sierra Leone	864.6178084	1951
Singapore	3331.421144	1951
Slovak Republic	4970.411872	1951
Slovenia	4630.530413	1951
Somalia	1121.110831	1951
South Africa	4689.811455	1951
Spain	3576.315114	1951
Sri Lanka	1066.727067	1951
Sudan	1582.367011	1951
Swaziland	1139.296552	1951
Sweden	8545.296586	1951
Switzerland	14816.89924	1951
Syria	1338.237439	1951
Taiwan	1113.333184	1951
Tanzania	719.4214136	1951
Thailand	740.1431574	1951
Togo	846.1706846	1951
Trinidad and Tobago	2987.505737	1951
Tunisia	1331.686957	1951
Turkey	1804.577407	1951
Uganda	710.2907515	1951
United Kingdom	10025.45274	1951
United States	13702.42575	1951
Uruguay	5714.808979	1951
Venezuela	7511.883417	1951
West Bank and Gaza	1461.209687	1951
Vietnam	589.8660683	1951
Yemen, Rep.	776.6275741	1951
Zambia	1103.66025	1951
Zimbabwe	405.3911006	1951
Afghanistan	779.4453145	1952
Albania	1601.056136	1952
Algeria	2449.008185	1952
Angola	3520.610273	1952
Argentina	5911.315053	1952
Australia	10039.59564	1952
Austria	6137.076492	1952
Bahrain	9867.084765	1952
Bangladesh	684.2441716	1952
Belgium	8343.105127	1952
Benin	1062.7522	1952
Bolivia	2677.326347	1952
Bosnia and Herzegovina	973.5331948	1952
Botswana	851.2411407	1952
Brazil	2108.944355	1952
Bulgaria	2444.286648	1952
Burkina Faso	543.2552413	1952
Burundi	339.2964587	1952
Cambodia	368.4692856	1952
Cameroon	1172.667655	1952
Canada	11367.16112	1952
Cape Verde	594.7341659	1952
Central African Rep.	1071.310713	1952
Chad	1178.665927	1952
Chile	3939.978789	1952
China	497.7051693	1952
Colombia	2144.115096	1952
Comoros	1102.990936	1952
Congo, Dem. Rep.	780.5423257	1952
Congo, Rep.	2125.621418	1952
Costa Rica	2627.009471	1952
Cote d'Ivoire	1388.594732	1952
Croatia	3119.23652	1952
Cuba	5586.53878	1952
Czech Rep.	6876.14025	1952
Denmark	9692.385245	1952
Djibouti	2669.529475	1952
Dominican Rep.	1397.717137	1952
Ecuador	3522.110717	1952
Egypt	1418.822445	1952
El Salvador	3048.3029	1952
Equatorial Guinea	375.6431231	1952
Eritrea	328.9405571	1952
Ethiopia	362.1462796	1952
Finland	6424.519071	1952
France	7029.809327	1952
Gabon	4293.476475	1952
Gambia	485.2306591	1952
Germany	7144.114393	1952
Ghana	911.2989371	1952
Greece	3530.690067	1952
Guatemala	2428.237769	1952
Guinea	510.1964923	1952
Guinea-Bissau	299.850319	1952
Haiti	1840.366939	1952
Honduras	2194.926204	1952
Hong Kong, China	3054.421209	1952
Hungary	5263.673816	1952
Iceland	7267.688428	1952
India	546.5657493	1952
Indonesia	749.6816546	1952
Iran	3035.326002	1952
Iraq	4129.766056	1952
Ireland	5210.280328	1952
Isle of Man	5652.601107	1952
Israel	4086.522128	1952
Italy	4931.404155	1952
Jamaica	2898.530881	1952
Japan	3216.956347	1952
Jordan	1546.907807	1952
Kenya	853.540919	1952
Korea, Dem. Rep.	1088.277758	1952
Korea, Rep.	1030.592226	1952
Kuwait	108382.3529	1952
Laos	792.3186185	1952
Lebanon	4834.804067	1952
Lesotho	298.8462121	1952
Liberia	575.5729961	1952
Libya	2387.54806	1952
Luxembourg	14326.13779	1952
Macedonia, FYR	1905.933975	1952
Madagascar	1443.011715	1952
Malawi	369.1650802	1952
Malaysia	1831.132894	1952
Mali	452.3369807	1952
Mauritania	743.1159097	1952
Mauritius	1967.955707	1952
Mexico	3478.125529	1952
Mongolia	786.5668575	1952
Montenegro	2647.585601	1952
Morocco	1688.20357	1952
Mozambique	468.5260381	1952
Myanmar	331	1952
Namibia	2423.780443	1952
Nepal	545.8657229	1952
Netherlands	8941.571858	1952
New Zealand	10556.57566	1952
Nicaragua	3112.363948	1952
Niger	761.879376	1952
Nigeria	1077.281856	1952
Norway	10095.42172	1952
Oman	1828.230307	1952
Pakistan	684.5971438	1952
Panama	2480.380334	1952
Paraguay	1952.308701	1952
Peru	3758.523437	1952
Philippines	1272.880995	1952
Poland	4029.329699	1952
Portugal	3068.319867	1952
Puerto Rico	3081.959785	1952
Reunion	2718.885295	1952
Romania	3144.613186	1952
Rwanda	493.3238752	1952
Sao Tome and Principe	879.5835855	1952
Saudi Arabia	6459.554823	1952
Senegal	1450.356983	1952
Serbia	3581.459448	1952
Seychelles	4913.363077	1952
Sierra Leone	879.7877358	1952
Singapore	2315.138227	1952
Slovak Republic	5074.659104	1952
Slovenia	4215.041741	1952
Somalia	1135.749842	1952
South Africa	4725.295531	1952
Spain	3834.034742	1952
Sri Lanka	1083.53203	1952
Sudan	1615.991129	1952
Swaziland	1148.376626	1952
Sweden	8527.844662	1952
Switzerland	14734.23275	1952
Syria	1643.485354	1952
Taiwan	1206.947913	1952
Tanzania	716.6500721	1952
Thailand	757.7974177	1952
Togo	859.8086567	1952
Trinidad and Tobago	3023.271928	1952
Tunisia	1468.475631	1952
Turkey	1969.10098	1952
Uganda	734.753484	1952
United Kingdom	9979.508487	1952
United States	13990.48208	1952
Uruguay	5716.766744	1952
Venezuela	7689.799761	1952
West Bank and Gaza	1515.592329	1952
Vietnam	605.0664917	1952
Yemen, Rep.	781.7175761	1952
Zambia	1147.388831	1952
Zimbabwe	406.8841148	1952
Afghanistan	812.8562795	1953
Albania	1665.794737	1953
Algeria	2436.33995	1953
Angola	3598.805544	1953
Argentina	6107.586028	1953
Australia	10157.91298	1953
Austria	6399.786948	1953
Bahrain	10230.37327	1953
Bangladesh	682.7215415	1953
Belgium	8645.372292	1953
Benin	1012.844468	1953
Bolivia	2373.251302	1953
Bosnia and Herzegovina	1104.173675	1953
Botswana	865.8613802	1953
Brazil	2145.843347	1953
Bulgaria	2691.935068	1953
Burkina Faso	557.006778	1953
Burundi	346.9312241	1953
Cambodia	363.2682522	1953
Cameroon	1199.75541	1953
Canada	11586.61455	1953
Cape Verde	602.3262158	1953
Central African Rep.	1095.180712	1953
Chad	1203.409947	1953
Chile	4161.720289	1953
China	508.9458694	1953
Colombia	2184.166023	1953
Comoros	1122.692823	1953
Congo, Dem. Rep.	809.0350048	1953
Congo, Rep.	2163.659332	1953
Costa Rica	2924.001106	1953
Cote d'Ivoire	1410.478003	1953
Croatia	3537.813472	1953
Cuba	4811.180493	1953
Czech Rep.	6774.039587	1953
Denmark	10161.10541	1953
Djibouti	2705.478727	1953
Dominican Rep.	1338.340514	1953
Ecuador	3503.575422	1953
Egypt	1409.748543	1953
El Salvador	3178.362183	1953
Equatorial Guinea	385.5688743	1953
Eritrea	342.0659166	1953
Ethiopia	376.5966111	1953
Finland	6393.115429	1953
France	7171.244319	1953
Gabon	4422.183364	1953
Gambia	491.8493556	1953
Germany	7697.248042	1953
Ghana	1010.363404	1953
Greece	3971.273892	1953
Guatemala	2445.12619	1953
Guinea	520.9940865	1953
Guinea-Bissau	317.1677229	1953
Haiti	1751.256464	1953
Honduras	2299.858615	1953
Hong Kong, China	3160.149944	1953
Hungary	5308.48868	1953
Iceland	8211.292176	1953
India	570.414424	1953
Indonesia	770.9263911	1953
Iran	2957.85922	1953
Iraq	5672.151263	1953
Ireland	5359.593536	1953
Isle of Man	5855.945756	1953
Israel	3926.394924	1953
Italy	5222.079917	1953
Jamaica	3258.814391	1953
Japan	3406.853094	1953
Jordan	1574.414169	1953
Kenya	809.4432328	1953
Korea, Dem. Rep.	1396.239797	1953
Korea, Rep.	1322.271281	1953
Kuwait	113211.8816	1953
Laos	801.1824498	1953
Lebanon	5435.234996	1953
Lesotho	306.0163511	1953
Liberia	583.9663195	1953
Libya	2375.339242	1953
Luxembourg	14733.27503	1953
Macedonia, FYR	2161.69529	1953
Madagascar	1471.774458	1953
Malawi	377.4664681	1953
Malaysia	1791.855826	1953
Mali	459.8768145	1953
Mauritania	763.0128512	1953
Mauritius	1969.435161	1953
Mexico	3380.658236	1953
Mongolia	809.4972608	1953
Montenegro	3002.870719	1953
Morocco	1698.277309	1953
Mozambique	476.8589086	1953
Myanmar	330	1953
Namibia	2458.45495	1953
Nepal	573.0991126	1953
Netherlands	9596.895432	1953
New Zealand	10637.22008	1953
Nicaragua	3092.083304	1953
Niger	776.2889616	1953
Nigeria	1080.04006	1953
Norway	10392.81493	1953
Oman	1906.936562	1953
Pakistan	732.5088328	1953
Panama	2569.850258	1953
Paraguay	1955.912309	1953
Peru	3896.299746	1953
Philippines	1345.679103	1953
Poland	4183.458441	1953
Portugal	3262.202522	1953
Puerto Rico	3252.089219	1953
Reunion	2740.695002	1953
Romania	3328.701039	1953
Rwanda	502.1029588	1953
Sao Tome and Principe	879.7448425	1953
Saudi Arabia	6968.420909	1953
Senegal	1473.803262	1953
Serbia	4062.063074	1953
Seychelles	4995.782156	1953
Sierra Leone	901.4537774	1953
Singapore	2762.900725	1953
Slovak Republic	4999.307811	1953
Slovenia	4780.667116	1953
Somalia	1156.6622	1953
South Africa	4827.962565	1953
Spain	3787.808989	1953
Sri Lanka	1072.408072	1953
Sudan	1646.641602	1953
Swaziland	1165.394658	1953
Sweden	8813.990774	1953
Switzerland	15055.82564	1953
Syria	1815.401613	1953
Taiwan	1278.499657	1953
Tanzania	674.3520331	1953
Thailand	815.4598831	1953
Togo	872.9219478	1953
Trinidad and Tobago	3033.585613	1953
Tunisia	1497.119588	1953
Turkey	2131.879671	1953
Uganda	746.8340971	1953
United Kingdom	10338.50775	1953
United States	14398.56122	1953
Uruguay	5926.627264	1953
Venezuela	7730.247662	1953
West Bank and Gaza	1570.897471	1953
Vietnam	621.1851833	1953
Yemen, Rep.	787.3154506	1953
Zambia	1192.692866	1953
Zimbabwe	426.6437974	1953
Afghanistan	815.3595213	1954
Albania	1714.688776	1954
Algeria	2557.818507	1954
Angola	3450.820228	1954
Argentina	6242.599448	1954
Australia	10544.08738	1954
Austria	7045.971274	1954
Bahrain	10599.69245	1954
Bangladesh	682.5485692	1954
Belgium	8950.306725	1954
Benin	1021.285421	1954
Bolivia	2371.672884	1954
Bosnia and Herzegovina	1150.693245	1954
Botswana	880.4968514	1954
Brazil	2249.203114	1954
Bulgaria	2613.983108	1954
Burkina Faso	571.3961712	1954
Burundi	359.6072868	1954
Cambodia	395.7529875	1954
Cameroon	1227.648893	1954
Canada	11173.2595	1954
Cape Verde	593.8972871	1954
Central African Rep.	1119.354923	1954
Chad	1229.372028	1954
Chile	3954.372251	1954
China	511.0829177	1954
Colombia	2270.060515	1954
Comoros	1162.076011	1954
Congo, Dem. Rep.	841.4015151	1954
Congo, Rep.	2202.171632	1954
Costa Rica	2845.097226	1954
Cote d'Ivoire	1433.432731	1954
Croatia	3686.863902	1954
Cuba	4953.840069	1954
Czech Rep.	6979.21869	1954
Denmark	10272.20028	1954
Djibouti	2786.750325	1954
Dominican Rep.	1371.03541	1954
Ecuador	3687.720382	1954
Egypt	1401.630012	1954
El Salvador	3126.400971	1954
Equatorial Guinea	401.0599042	1954
Eritrea	336.192418	1954
Ethiopia	370.1301976	1954
Finland	6874.027206	1954
France	7485.855759	1954
Gabon	4556.145052	1954
Gambia	506.8714231	1954
Germany	8233.475424	1954
Ghana	1107.532716	1954
Greece	4055.310549	1954
Guatemala	2419.202106	1954
Guinea	543.5877147	1954
Guinea-Bissau	378.7490633	1954
Haiti	1861.108527	1954
Honduras	2103.691205	1954
Hong Kong, China	3271.089048	1954
Hungary	5431.85557	1954
Iceland	8800.722567	1954
India	583.2388737	1954
Indonesia	807.6014547	1954
Iran	2879.311878	1954
Iraq	6589.743794	1954
Ireland	5427.053644	1954
Isle of Man	6073.901417	1954
Israel	4552.486293	1954
Italy	5436.140736	1954
Jamaica	3580.807431	1954
Japan	3554.902815	1954
Jordan	1601.522383	1954
Kenya	878.5959734	1954
Korea, Dem. Rep.	1464.160371	1954
Korea, Rep.	1386.776007	1954
Kuwait	119849.2934	1954
Laos	809.6514206	1954
Lebanon	6091.803531	1954
Lesotho	317.5437061	1954
Liberia	601.8761014	1954
Libya	2313.669911	1954
Luxembourg	14468.25133	1954
Macedonia, FYR	2252.768948	1954
Madagascar	1501.165911	1954
Malawi	385.8052997	1954
Malaysia	1854.518648	1954
Mali	466.9406971	1954
Mauritania	783.3955742	1954
Mauritius	2013.472385	1954
Mexico	3614.576797	1954
Mongolia	834.526321	1954
Montenegro	3129.383655	1954
Morocco	1707.292591	1954
Mozambique	479.8607797	1954
Myanmar	300	1954
Namibia	2535.275561	1954
Nepal	579.0998418	1954
Netherlands	10147.32274	1954
New Zealand	11839.00284	1954
Nicaragua	3279.797703	1954
Niger	791.055319	1954
Nigeria	1132.342652	1954
Norway	10810.10126	1954
Oman	1986.072852	1954
Pakistan	731.5507024	1954
Panama	2600.240452	1954
Paraguay	1938.394197	1954
Peru	3902.715697	1954
Philippines	1404.093966	1954
Poland	4338.679886	1954
Portugal	3397.693176	1954
Puerto Rico	3370.582784	1954
Reunion	2801.727411	1954
Romania	3529.10624	1954
Rwanda	519.5621315	1954
Sao Tome and Principe	915.5612392	1954
Saudi Arabia	7615.790541	1954
Senegal	1497.638532	1954
Serbia	4233.200488	1954
Seychelles	5210.536143	1954
Sierra Leone	939.5441486	1954
Singapore	3166.358338	1954
Slovak Republic	5150.732006	1954
Slovenia	4982.079795	1954
Somalia	1200.564364	1954
South Africa	5065.893365	1954
Spain	4039.519387	1954
Sri Lanka	1070.874687	1954
Sudan	1680.017836	1954
Swaziland	1202.806522	1954
Sweden	9225.152633	1954
Switzerland	15739.39579	1954
Syria	2028.311401	1954
Taiwan	1356.815915	1954
Tanzania	711.1398898	1954
Thailand	783.3604441	1954
Togo	886.2413318	1954
Trinidad and Tobago	3002.878322	1954
Tunisia	1503.537358	1954
Turkey	2015.248361	1954
Uganda	716.6550109	1954
United Kingdom	10723.30235	1954
United States	14045.22052	1954
Uruguay	6217.573463	1954
Venezuela	8114.820007	1954
West Bank and Gaza	1633.309603	1954
Vietnam	638.4904051	1954
Yemen, Rep.	792.0852859	1954
Zambia	1239.058306	1954
Zimbabwe	433.7165366	1954
Afghanistan	816.414838	1955
Albania	1807.130587	1955
Algeria	2572.474443	1955
Angola	3672.081573	1955
Argentina	6566.88202	1955
Australia	10864.61774	1955
Austria	7817.250888	1955
Bahrain	10957.17293	1955
Bangladesh	633.4855866	1955
Belgium	9244.72546	1955
Benin	1000.6625	1955
Bolivia	2443.66208	1955
Bosnia and Herzegovina	1208.077333	1955
Botswana	893.5819781	1955
Brazil	2379.477029	1955
Bulgaria	2772.894304	1955
Burkina Faso	586.3981756	1955
Burundi	364.6437504	1955
Cambodia	378.1509362	1955
Cameroon	1256.241307	1955
Canada	11901.50949	1955
Cape Verde	596.8271095	1955
Central African Rep.	1143.730538	1955
Chad	1255.590763	1955
Chile	4023.329204	1955
China	526.7439603	1955
Colombia	2286.564672	1955
Comoros	1174.148266	1955
Congo, Dem. Rep.	856.7983638	1955
Congo, Rep.	2240.944714	1955
Costa Rica	3057.11838	1955
Cote d'Ivoire	1455.901319	1955
Croatia	3870.724651	1955
Cuba	5076.018528	1955
Czech Rep.	7495.881059	1955
Denmark	10305.71133	1955
Djibouti	2803.229465	1955
Dominican Rep.	1409.772077	1955
Ecuador	3684.142723	1955
Egypt	1394.396633	1955
El Salvador	3195.050065	1955
Equatorial Guinea	407.3382223	1955
Eritrea	348.0343498	1955
Ethiopia	383.1675426	1955
Finland	7142.394529	1955
France	7851.776992	1955
Gabon	4694.675741	1955
Gambia	509.7646542	1955
Germany	9096.82667	1955
Ghana	1008.522413	1955
Greece	4322.332692	1955
Guatemala	2407.564081	1955
Guinea	553.3446178	1955
Guinea-Bissau	361.2483622	1955
Haiti	1754.020893	1955
Honduras	2092.367543	1955
Hong Kong, China	3386.382302	1955
Hungary	5850.989	1955
Iceland	9458.671799	1955
India	586.6931785	1955
Indonesia	823.6767746	1955
Iran	2801.982929	1955
Iraq	6174.201082	1955
Ireland	5607.711155	1955
Isle of Man	6272.343171	1955
Israel	4993.22973	1955
Italy	5733.705071	1955
Jamaica	3893.490377	1955
Japan	3814.965272	1955
Jordan	1456.60956	1955
Kenya	918.3691347	1955
Korea, Dem. Rep.	1523.338772	1955
Korea, Rep.	1442.175509	1955
Kuwait	116444.4039	1955
Laos	818.3068762	1955
Lebanon	6426.760587	1955
Lesotho	322.5087562	1955
Liberia	606.5157335	1955
Libya	2844.840903	1955
Luxembourg	15026.47897	1955
Macedonia, FYR	2365.112608	1955
Madagascar	1531.052352	1955
Malawi	384.8059277	1955
Malaysia	1817.187361	1955
Mali	474.7331824	1955
Mauritania	804.1969211	1955
Mauritius	2013.152846	1955
Mexico	3810.525522	1955
Mongolia	859.0672476	1955
Montenegro	3285.443341	1955
Morocco	1715.255468	1955
Mozambique	500.615612	1955
Myanmar	330	1955
Namibia	2555.535563	1955
Nepal	584.4648283	1955
Netherlands	10738.2935	1955
New Zealand	11814.683	1955
Nicaragua	3393.422843	1955
Niger	806.1106233	1955
Nigeria	1134.588238	1955
Norway	10941.85332	1955
Oman	2068.101319	1955
Pakistan	730.4868461	1955
Panama	2681.588335	1955
Paraguay	1974.52218	1955
Peru	4084.31499	1955
Philippines	1457.134274	1955
Poland	4464.945774	1955
Portugal	3513.188054	1955
Puerto Rico	3487.488317	1955
Reunion	2772.529069	1955
Romania	3722.174916	1955
Rwanda	524.6872689	1955
Sao Tome and Principe	822.7700998	1955
Saudi Arabia	7642.32731	1955
Senegal	1521.721974	1955
Serbia	4444.306574	1955
Seychelles	5188.308108	1955
Sierra Leone	959.2659122	1955
Singapore	2912.645046	1955
Slovak Republic	5532.033914	1955
Slovenia	5230.531852	1955
Somalia	1216.043777	1955
South Africa	5199.293634	1955
Spain	4163.500932	1955
Sri Lanka	1104.565372	1955
Sudan	1714.446276	1955
Swaziland	1211.968884	1955
Sweden	9420.620992	1955
Switzerland	16626.4855	1955
Syria	1781.598864	1955
Taiwan	1419.976833	1955
Tanzania	710.0446967	1955
Thailand	823.9790442	1955
Togo	899.6825603	1955
Trinidad and Tobago	3311.345775	1955
Tunisia	1401.358996	1955
Turkey	2116.377892	1955
Uganda	743.2078272	1955
United Kingdom	11073.6457	1955
United States	14797.65083	1955
Uruguay	6172.350456	1955
Venezuela	8388.418061	1955
West Bank and Gaza	1694.347388	1955
Vietnam	654.1938814	1955
Yemen, Rep.	797.1717273	1955
Zambia	1180.93884	1955
Zimbabwe	454.0515681	1955
Afghanistan	837.0669354	1956
Albania	1825.302487	1956
Algeria	2764.423629	1956
Angola	3549.035343	1956
Argentina	6630.034401	1956
Australia	10974.12837	1956
Austria	8348.449465	1956
Bahrain	11308.30636	1956
Bangladesh	687.860854	1956
Belgium	9529.403593	1956
Benin	980.063476	1956
Bolivia	2249.186091	1956
Bosnia and Herzegovina	1170.757903	1956
Botswana	905.9083337	1956
