country	year	pop	gdpPercap	continent	lifeExp
Australia	1989	16780235	23133.97635		76.46
Australia	1990	17022133	23151.89034		77.06
Australia	1991	17257526	22893.85675		77.55
Australia	1992	17481977	23424.76683		77.56
Australia	1993	17688687	24053.10102		78.1
Australia	1994	17892557	24780.17241		78.1
Australia	1995	18116171	25518.71544		78.49
Australia	1996	18348078	26151.13247		78.56
Australia	1997	18565243	26997.93657		78.83
Australia	1998	18768789	28169.15341		79.33
Australia	1999	18968247	28983.2672		79.58
Australia	2000	19164620	29241.5145		79.99
Australia	2001	19357594	30043.24277		80.35
Australia	2002	19546792	30687.75473		80.37
Australia	2003	19731984	31634.24243		80.78
Australia	2004	19913144	32098.50615		81.15
Australia	2007	20434176	34435.36744		81.235
Austria	1950	6935100	5733.098114	Europe	64.88
Austria	1951	6935451	6124.928282	Europe	65.26
Austria	1952	6927772	6137.076492	Europe	66.8
Austria	1953	6932483	6399.786948	Europe	67.29
Austria	1954	6940209	7045.971274	Europe	67.32
Austria	1955	6946885	7817.250888	Europe	67.6
Austria	1956	6952359	8348.449465	Europe	67.72
Austria	1957	6965860	8842.59803	Europe	67.48
Austria	1958	6987358	9137.296178	Europe	68.49
Austria	1959	7014331	9360.853847	Europe	68.42
Austria	1960	7047437	10083.83005	Europe	68.78
Austria	1961	7086299	10560.9654	Europe	69.75
Austria	1962	7129864	10750.72111	Europe	69.54
Austria	1963	7175811	11116.70439	Europe	69.67
Austria	1964	7223801	11705.63362	Europe	70.16
Austria	1965	7270889	11964.2821	Europe	69.95
Austria	1966	7322066	12549.33397	Europe	70.26
Austria	1967	7376998	12834.6024	Europe	70.14
Austria	1968	7415403	13335.55703	Europe	70.29
Austria	1969	7441055	14125.31596	Europe	70.06
Austria	1970	7467086	15078.76996	Europe	70.11
Austria	1971	7500482	15779.07374	Europe	70.31
Austria	1972	7544201	16661.6256	Europe	70.63
Austria	1973	7586115	17379.3273	Europe	71.21
Austria	1974	7599038	18033.975	Europe	71.2
Austria	1975	7578903	18016.36617	Europe	71.33
Austria	1976	7565525	18874.29543	Europe	71.82
Austria	1977	7568430	19749.4223	Europe	72.17
Austria	1978	7562305	19693.61751	Europe	72.25
Austria	1979	7549425	20803.39934	Europe	72.56
Austria	1980	7549433	21284.70833	Europe	72.7
Austria	1981	7564629	21220.8879	Europe	73.02
Austria	1982	7574613	21597.08362	Europe	73.18
Austria	1983	7552896	22266.66334	Europe	73.25
Austria	1984	7554132	22336.9462	Europe	73.79
Austria	1985	7559776	22821.20054	Europe	74.01
Austria	1986	7568242	23329.15536	Europe	74.49
Austria	1987	7578903	23687.82607	Europe	74.94
Austria	1988	7599791	24371.17769	Europe	75.41
Austria	1989	7627861	25307.87479	Europe	75.5
Austria	1990	7722953	26134.99521	Europe	75.77
Austria	1991	7818423	26744.39669	Europe	75.83
Austria	1992	7914969	27042.01868	Europe	76.04
Austria	1993	7988599	26882.04406	Europe	76.27
Austria	1994	8027540	27463.47863	Europe	76.6
Austria	1995	8047433	27918.81948	Europe	76.84
Austria	1996	8060852	28602.35254	Europe	77.1
Austria	1997	8069876	29095.92066	Europe	77.51
Austria	1998	8078622	30107.97838	Europe	77.88
Austria	1999	8094156	31039.61877	Europe	78.06
Austria	2000	8113413	32008.50466	Europe	78.35
Austria	2001	8131690	32196.42488	Europe	78.85
Austria	2002	8148312	32417.60769	Europe	78.98
Austria	2003	8162656	32741.18737	Europe	78.98
Austria	2004	8174762	33455.69403	Europe	79.49
Austria	2005	8184691	34108	Europe	79.66
Austria	2007	8199783	36126.4927	Europe	79.829
Azerbaijan	1992	7413618	3455.542969	Asia	65.623
Azerbaijan	1997	7695123	1943.285094	Asia	66.328
Azerbaijan	2002	7798497	3059.179927	Asia	66.844
Azerbaijan	2007	8017309	7708.61119	Asia	67.487
Bahamas	1962	122902	15117.51505		64.209
Bahamas	1967	151120	19318.1061		65.795
Bahamas	1972	178332	18152.43763		66.515
Bahamas	1977	197499	14380.66603		67.199
Bahamas	1982	219682	20433.0368		67.874
Bahamas	1987	244042	22438.01353		69.524
Bahamas	1992	264085	19432.56931		69.171
Bahamas	1997	281577	20990.83247		68.472
Bahamas	2002	295131	22810.96126		71.068
Bahamas	2007	305655	23948.63751		73.495
Bahrain	1952	120447	9867.084765	Asia	50.939
Bahrain	1957	138655	11635.79945	Asia	53.832
Bahrain	1962	171863	12753.27514	Asia	56.923
Bahrain	1967	202182	14804.6727	Asia	59.923
Bahrain	1972	230800	18268.65839	Asia	63.3
Bahrain	1977	297410	19340.10196	Asia	65.593
Bahrain	1982	377967	19211.14731	Asia	69.052
Bahrain	1987	454612	18524.02406	Asia	70.75
Bahrain	1992	529491	19035.57917	Asia	72.601
Bahrain	1997	598561	20292.01679	Asia	73.925
Bahrain	2002	656397	23403.55927	Asia	74.795
Bahrain	2007	708573	29796.04834	Asia	75.635
Bangladesh	1952	46886859	684.2441716	Asia	37.484
Bangladesh	1957	51365468	661.6374577	Asia	39.348
Bangladesh	1962	56839289	686.3415538	Asia	41.216
Bangladesh	1967	62821884	721.1860862	Asia	43.453
Bangladesh	1972	70759295	630.2336265	Asia	45.252
Bangladesh	1977	80428306	659.8772322	Asia	46.923
Bangladesh	1982	93074406	676.9818656	Asia	50.009
Bangladesh	1987	103764241	751.9794035	Asia	52.819
Bangladesh	1992	113704579	837.8101643	Asia	56.018
Bangladesh	1997	123315288	972.7700352	Asia	59.412
Bangladesh	2002	135656790	1136.39043	Asia	62.013
Bangladesh	2007	150448339	1391.253792	Asia	64.062
Barbados	1962	228747	6204.489468		65.87
Barbados	1967	238224	7788.544085		67.62
Barbados	1972	242445	9853.806374		69.42
Barbados	1977	249169	11817.35591		71.27
Barbados	1982	253522	12736.47247		72.695
Barbados	1987	259428	13783.20898		74.027
Barbados	1992	264925	12263.45331		74.894
Barbados	1997	270096	13901.90893		74.912
Barbados	2002	275673	14544.49305		75.97
Barbados	2007	280946	17023.10239		77.296
Belarus	1973	9236465	4958.608124	FSU	72.71
Belarus	1990	10215208	6807.781057	FSU	71.15
Belarus	1991	10244639	6693.1884	FSU	70.58
Belarus	1992	10306362	6014.406075	FSU	70.17
Belarus	1993	10360516	5528.263371	FSU	69.05
Belarus	1994	10387841	4868.615987	FSU	68.82
Belarus	1995	10403989	4355.509243	FSU	68.43
Belarus	1996	10408773	4475.405604	FSU	68.56
Belarus	1997	10404210	4987.788391	FSU	68.37
Belarus	1998	10394407	5411.861751	FSU	68.38
Belarus	1999	10382370	5602.352725	FSU	67.97
Belarus	2000	10366719	5936.237819	FSU	69
Belarus	2001	10350194	6225.164179	FSU	68.6
Belarus	2002	10335382	6545.789965	FSU	68.16
Belarus	2003	10322151	6999.864668	FSU	68.7
Belarus	2004	10310520	7806.724446	FSU	69.1
Belarus	2005	10300483	8541	FSU	68.87
Belarus	2007	10289007	10273.77418	FSU	69.027
Belgium	1950	8639369	7990.46584	Europe	66.35
Belgium	1951	8678386	8393.415992	Europe	66.8
Belgium	1952	8730405	8343.105127	Europe	68
Belgium	1953	8777873	8645.372292	Europe	68.37
Belgium	1954	8819380	8950.306725	Europe	68.63
Belgium	1955	8868475	9244.72546	Europe	68.58
Belgium	1956	8923845	9529.403593	Europe	68.87
Belgium	1957	8989111	9714.960623	Europe	69.24
Belgium	1958	9052707	9477.273558	Europe	69.93
Belgium	1959	9103729	9675.467689	Europe	70.33
Belgium	1960	9118700	10076.60249	Europe	69.65
Belgium	1961	9165800	10512.5111	Europe	70.52
Belgium	1962	9218400	10991.20676	Europe	70.25
Belgium	1963	9283100	11396.12839	Europe	70.06
Belgium	1964	9367000	12089.40942	Europe	70.73
Belgium	1965	9448100	12406.28806	Europe	70.58
Belgium	1966	9507800	12720.17707	Europe	70.65
Belgium	1967	9556500	13149.04119	Europe	70.94
Belgium	1968	9589800	13647.19609	Europe	70.63
Belgium	1969	9612700	14520.74226	Europe	70.71
Belgium	1970	9637800	15379.70523	Europe	70.97
Belgium	1971	9672500	15899.65951	Europe	71.1
Belgium	1972	9709100	16672.14356	Europe	71.44
Belgium	1973	9738400	17639.58142	Europe	71.65
Belgium	1974	9767800	18325.1694	Europe	72.01
Belgium	1975	9794800	18032.1155	Europe	72
Belgium	1976	9811000	19019.94462	Europe	72.15
Belgium	1977	9821800	19117.97448	Europe	72.8
Belgium	1978	9829700	19645.53784	Europe	72.75
Belgium	1979	9837200	20090.12043	Europe	73.24
Belgium	1980	9846800	20969.62311	Europe	73.29
Belgium	1981	9852400	20696.13378	Europe	73.7
Belgium	1982	9856303	20979.84589	Europe	73.93
Belgium	1983	9855520	20979.01253	Europe	73.93
Belgium	1984	9855300	21498.93801	Europe	74.43
Belgium	1985	9858200	21708.74541	Europe	74.54
Belgium	1986	9861800	22024.75308	Europe	74.74
Belgium	1987	9870200	22525.56308	Europe	75.35
Belgium	1988	9884000	23555.8201	Europe	75.66
Belgium	1989	9937697	24269.23182	Europe	75.73
Belgium	1990	9969310	24925.91	Europe	76.14
Belgium	1991	10004487	25293.57135	Europe	76.3
Belgium	1992	10045622	25575.57069	Europe	76.46
Belgium	1993	10085426	25229.59834	Europe	76.48
Belgium	1994	10122914	25947.30294	Europe	76.82
Belgium	1995	10155459	26480.94732	Europe	76.97
Belgium	1996	10178934	26725.49837	Europe	77.31
Belgium	1997	10199787	27561.19663	Europe	77.53
Belgium	1998	10217030	28030.61314	Europe	77.62
Belgium	1999	10235655	28937.1514	Europe	77.8
Belgium	2000	10263618	29940.2047	Europe	77.91
Belgium	2001	10291679	30092.07613	Europe	78.22
Belgium	2002	10311970	30485.88375	Europe	78.32
Belgium	2003	10330824	30736.5256	Europe	78.47
Belgium	2004	10348276	31600.01699	Europe	79.11
Belgium	2005	10364388	32077	Europe	79.2
Belgium	2007	10392226	33692.60508	Europe	79.441
Belize	1950	65797	1731.132728		57.673
Belize	1962	97594	1916.319613		62.678
Belize	1967	113265	2099.158522		65.184
Belize	1972	127661	2616.696579		67.589
Belize	1977	140578	3158.688003		69.747
Belize	1982	153277	3732.094919		71.031
Belize	1987	176347	3844.931896		71.879
Belize	1992	200798	5780.689094		72.522
Belize	1997	228884	5631.50107		74.405
Belize	2002	261138	6799.541995		75.586
Belize	2007	294385	7550.225543		76.121
Benin	1952	1738315	1062.7522	Africa	38.223
Benin	1957	1925173	959.6010805	Africa	40.358
Benin	1962	2151895	949.4990641	Africa	42.618
Benin	1967	2427334	1035.831411	Africa	44.885
Benin	1972	2761407	1085.796879	Africa	47.014
Benin	1977	3168267	1029.161251	Africa	49.19
Benin	1982	3641603	1277.897616	Africa	50.904
Benin	1987	4243788	1225.85601	Africa	52.337
Benin	1992	4981671	1191.207681	Africa	53.919
Benin	1997	6066080	1232.975292	Africa	54.777
Benin	2002	7026113	1372.877931	Africa	54.406
Benin	2007	8078314	1441.284873	Africa	56.728
Bhutan	1972	1087991	807.6225858	Asia	41.837
Bhutan	1977	1205659	816.3101525	Asia	44.708
Bhutan	1982	1333704	946.8129965	Asia	47.872
Bhutan	1987	1490857	1494.290085	Asia	50.717
Bhutan	1992	1673428	1904.17945	Asia	54.471
Bhutan	1997	1876236	2561.507659	Asia	58.929
Bhutan	2002	2094176	3256.019293	Asia	63.458
Bhutan	2007	2327849	4744.640019	Asia	65.625
Bolivia	1952	2883315	2677.326347	Americas	40.414
Bolivia	1957	3211738	2127.686326	Americas	41.89
Bolivia	1962	3593918	2180.972546	Americas	43.428
Bolivia	1967	4040665	2586.886053	Americas	45.032
Bolivia	1972	4565872	2980.331339	Americas	46.714
Bolivia	1977	5079716	3548.097832	Americas	50.023
Bolivia	1982	5642224	3156.510452	Americas	53.859
Bolivia	1987	6156369	2753.69149	Americas	57.251
Bolivia	1992	6893451	2961.699694	Americas	59.957
Bolivia	1997	7693188	3326.143191	Americas	62.05
Bolivia	2002	8445134	3413.26269	Americas	63.883
Bolivia	2007	9119152	3822.137084	Americas	65.554
Bosnia and Herzegovina	1952	2791000	973.5331948	Europe	53.82
Bosnia and Herzegovina	1957	3076000	1353.989176	Europe	58.45
Bosnia and Herzegovina	1962	3349000	1709.683679	Europe	61.93
Bosnia and Herzegovina	1967	3585000	2172.352423	Europe	64.79
Bosnia and Herzegovina	1972	3819000	2860.16975	Europe	67.45
Bosnia and Herzegovina	1977	4086000	3528.481305	Europe	69.86
Bosnia and Herzegovina	1982	4172693	4126.613157	Europe	70.69
Bosnia and Herzegovina	1987	4338977	4314.114757	Europe	71.14
Bosnia and Herzegovina	1992	4256013	2546.781445	Europe	72.178
Bosnia and Herzegovina	1997	3607000	4766.355904	Europe	73.244
Bosnia and Herzegovina	2002	4165416	6018.975239	Europe	74.09
Bosnia and Herzegovina	2007	4552198	7446.298803	Europe	74.852
Botswana	1952	442308	851.2411407	Africa	47.622
Botswana	1957	474639	918.2325349	Africa	49.618
Botswana	1962	512764	983.6539764	Africa	51.52
Botswana	1967	553541	1214.709294	Africa	53.298
Botswana	1972	619351	2263.611114	Africa	56.024
Botswana	1977	781472	3214.857818	Africa	59.319
Botswana	1982	970347	4551.14215	Africa	61.484
Botswana	1987	1151184	6205.88385	Africa	63.622
Botswana	1992	1342614	7954.111645	Africa	62.745
Botswana	1997	1536536	8647.142313	Africa	52.556
Botswana	2002	1630347	11003.60508	Africa	46.634
Botswana	2007	1639131	12569.85177	Africa	50.728
Brazil	1952	56602560	2108.944355	Americas	50.917
Brazil	1957	65551171	2487.365989	Americas	53.285
Brazil	1962	76039390	3336.585802	Americas	55.665
Brazil	1967	88049823	3429.864357	Americas	57.632
Brazil	1972	100840058	4985.711467	Americas	59.504
Brazil	1977	114313951	6660.118654	Americas	61.489
Brazil	1982	128962939	7030.835878	Americas	63.336
Brazil	1987	142938076	7807.095818	Americas	65.205
Brazil	1992	155975974	6950.283021	Americas	67.057
Brazil	1997	168546719	7957.980824	Americas	69.388
Brazil	2002	179914212	8131.212843	Americas	71.006
Brazil	2007	190010647	9065.800825	Americas	72.39
Brunei	1972	141500	54117.15906	Asia	68.34
Brunei	1977	167216	72555.22854	Asia	69.66
Brunei	1982	199468	62407.21057	Asia	71.62
Brunei	1987	235357	53585.90355	Asia	73.2
Brunei	1992	273701	49174.40543	Asia	74.471
Brunei	1997	313563	48967.3126	Asia	75.465
Brunei	2002	350898	48906.34894	Asia	76.315
Brunei	2007	386511	48014.58767	Asia	77.118
Bulgaria	1950	7250500	2131.563149	Europe	61.39
Bulgaria	1951	7258200	2567.424534	Europe	60.63
Bulgaria	1952	7274900	2444.286648	Europe	59.6
Bulgaria	1953	7346100	2691.935068	Europe	64.14
Bulgaria	1954	7423300	2613.983108	Europe	64.4
Bulgaria	1955	7499400	2772.894304	Europe	64.81
Bulgaria	1956	7575800	2747.377929	Europe	65.21
Bulgaria	1957	7651254	3008.670727	Europe	66.61
Bulgaria	1958	7727553	3238.108918	Europe	68.71
Bulgaria	1959	7797777	3464.569652	Europe	66.57
Bulgaria	1960	7867374	3759.16551	Europe	69.18
Bulgaria	1961	7943118	3966.093248	Europe	70.22
Bulgaria	1962	8012946	4254.337839	Europe	69.51
Bulgaria	1963	8078145	4412.810322	Europe	70.34
Bulgaria	1964	8144339	4721.863908	Europe	71.14
Bulgaria	1965	8201400	4970.48803	Europe	71.3
Bulgaria	1966	8258057	5325.953431	Europe	71.23
Bulgaria	1967	8310226	5577.0028	Europe	70.42
Bulgaria	1968	8369603	5639.346751	Europe	71.25
Bulgaria	1969	8434172	5868.78268	Europe	70.43
Bulgaria	1970	8489574	6162.468503	Europe	71.27
Bulgaria	1971	8536395	6328.504247	Europe	70.87
Bulgaria	1972	8576200	6597.494398	Europe	70.9
Bulgaria	1973	8620997	6822.385269	Europe	71.34
Bulgaria	1974	8678745	6989.571515	Europe	71.2
Bulgaria	1975	8720742	7527.863173	Europe	71.05
Bulgaria	1976	8755037	7722.871137	Europe	71.38
Bulgaria	1977	8797022	7612.240438	Europe	70.81
Bulgaria	1978	8803281	7771.118048	Europe	71.17
Bulgaria	1979	8811589	8062.600739	Europe	71.27
Bulgaria	1980	8843528	7802.845798	Europe	71.1
Bulgaria	1981	8869441	7987.015204	Europe	71.49
Bulgaria	1982	8892098	8224.191647	Europe	71.08
Bulgaria	1983	8910284	8052.372566	Europe	71.25
Bulgaria	1984	8928271	8301.979654	Europe	71.35
Bulgaria	1985	8943573	8037.950013	Europe	71.07
Bulgaria	1986	8958770	8236.461605	Europe	71.55
Bulgaria	1987	8971958	8239.854824	Europe	71.34
Bulgaria	1988	8982025	8179.010541	Europe	71.4
Bulgaria	1989	8990055	8025.266041	Europe	71.46
Bulgaria	1990	8894028	7225.877958	Europe	71.31
Bulgaria	1991	8772368	6710.698795	Europe	71.18
Bulgaria	1992	8658506	6302.623438	Europe	71.19
Bulgaria	1993	8441872	6367.39497	Europe	71.18
Bulgaria	1994	8353335	6550.710885	Europe	70.85
Bulgaria	1995	8255811	6820.307624	Europe	70.95
Bulgaria	1996	8161026	6250.966075	Europe	70.85
Bulgaria	1997	8066057	5970.38876	Europe	70.32
Bulgaria	1998	7971774	6282.641215	Europe	70.91
Bulgaria	1999	7893227	6491.099672	Europe	71.57
Bulgaria	2000	7818495	6907.013722	Europe	71.59
Bulgaria	2001	7738416	7264.607226	Europe	71.9
Bulgaria	2002	7661799	7696.777725	Europe	72.14
Bulgaria	2003	7588399	8105.388755	Europe	72.35
Bulgaria	2004	7517973	8721.228028	Europe	72.54
Bulgaria	2005	7450349	9353	Europe	72.52
Bulgaria	2007	7322858	10680.79282	Europe	73.005
Burkina Faso	1952	4469979	543.2552413	Africa	31.975
Burkina Faso	1957	4713416	617.1834648	Africa	34.906
Burkina Faso	1962	4919632	722.5120206	Africa	37.814
Burkina Faso	1967	5127935	794.8265597	Africa	40.697
Burkina Faso	1972	5433886	854.7359763	Africa	43.591
Burkina Faso	1977	5889574	743.3870368	Africa	46.137
Burkina Faso	1982	6634596	807.1985855	Africa	48.122
Burkina Faso	1987	7586551	912.0631417	Africa	49.557
Burkina Faso	1992	8878303	931.7527731	Africa	50.26
Burkina Faso	1997	10352843	946.2949618	Africa	50.324
Burkina Faso	2002	12251209	1037.645221	Africa	50.65
Burkina Faso	2007	14326203	1217.032994	Africa	52.295
Burundi	1952	2445618	339.2964587	Africa	39.031
Burundi	1957	2667518	379.5646281	Africa	40.533
Burundi	1962	2961915	355.2032273	Africa	42.045
Burundi	1967	3330989	412.9775136	Africa	43.548
Burundi	1972	3529983	464.0995039	Africa	44.057
Burundi	1977	3834415	556.1032651	Africa	45.91
Burundi	1982	4580410	559.603231	Africa	47.471
Burundi	1987	5126023	621.8188189	Africa	48.211
Burundi	1992	5809236	631.6998778	Africa	44.736
Burundi	1997	6121610	463.1151478	Africa	45.326
Burundi	2002	7021078	446.4035126	Africa	47.36
Burundi	2007	8390505	430.0706916	Africa	49.58
Cambodia	1952	4693836	368.4692856	Asia	39.417
Cambodia	1957	5322536	434.0383364	Asia	41.366
Cambodia	1962	6083619	496.9136476	Asia	43.415
Cambodia	1967	6960067	523.4323142	Asia	45.415
Cambodia	1972	7450606	421.6240257	Asia	40.317
Cambodia	1977	6978607	524.9721832	Asia	31.22
Cambodia	1982	7272485	624.4754784	Asia	50.957
Cambodia	1987	8371791	683.8955732	Asia	53.914
Cambodia	1992	10150094	682.3031755	Asia	55.803
Cambodia	1997	11782962	734.28517	Asia	56.534
Cambodia	2002	12926707	896.2260153	Asia	56.752
Cambodia	2007	14131858	1713.778686	Asia	59.723
Cameroon	1952	5009067	1172.667655	Africa	38.523
Cameroon	1957	5359923	1313.048099	Africa	40.428
Cameroon	1962	5793633	1399.607441	Africa	42.643
Cameroon	1967	6335506	1508.453148	Africa	44.799
Cameroon	1972	7021028	1684.146528	Africa	47.049
Cameroon	1977	7959865	1783.432873	Africa	49.355
Cameroon	1982	9250831	2367.983282	Africa	52.961
Cameroon	1987	10780667	2602.664206	Africa	54.985
Cameroon	1992	12467171	1793.163278	Africa	54.314
Cameroon	1997	14195809	1694.337469	Africa	52.199
Cameroon	2002	15929988	1934.011449	Africa	49.856
Cameroon	2007	17696293	2042.09524	Africa	50.43
Canada	1950	14011422	10581.26552		68.28
Canada	1951	14330675	10932.46678		68.55
Canada	1952	14785584	11367.16112		68.75
Canada	1953	15183375	11586.61455		69.13
Canada	1954	15636245	11173.2595		69.99
Canada	1955	16050356	11901.50949		70.05
Canada	1956	16445087	12555.54947		70.04
Canada	1957	17010154	12489.95006		69.96
Canada	1958	17462004	12384.41018		70.62
Canada	1959	17872034	12590.80033		70.66
Canada	1960	18266765	12701.48312		71.04
Canada	1961	18634977	12817.92217		71.27
Canada	1962	18985849	13462.48555		71.3
Canada	1963	19342841	13882.56266		71.31
Canada	1964	19711053	14510.89933		71.69
Canada	1965	20071104	15198.11009		71.79
Canada	1966	20448496	15884.83624		71.92
Canada	1967	20819767	16076.58803		72.13
Canada	1968	21143100	16658.21328		72.29
Canada	1969	21448073	17286.99329		72.45
Canada	1970	21749986	17487.45713		72.65
Canada	1971	22026400	18229.64274		72.98
Canada	1972	22284500	18970.57086		72.88
Canada	1973	22559500	20081.30717		73.11
Canada	1974	22874700	20613.59162		73.19
Canada	1975	23209200	20775.50508		73.49
Canada	1976	23517500	21626.08551		73.92
Canada	1977	23796400	22090.88306		74.21
Canada	1978	24036300	22754.82739		74.54
Canada	1979	24276900	23465.82672		74.9
Canada	1980	24593300	23473.89691		75.14
Canada	1981	24900000	23904.52565		75.55
Canada	1982	25201900	22898.79214		75.76
Canada	1983	25456300	23329.80455		76.13
Canada	1984	25701800	24431.84887		76.43
Canada	1985	25941600	25514.7852		76.41
Canada	1986	26203800	25921.16702		76.56
Canada	1987	26549700	26626.51503		76.86
Canada	1988	26894800	27562.41454		76.94
Canada	1989	27379300	27729.89597		77.2
Canada	1990	27790600	27387.27394		77.51
Canada	1991	28117600	26491.59562		77.69
Canada	1992	28523502	26342.88426		77.95
Canada	1993	28920644	26590.39937		77.83
Canada	1994	29262472	27543.90811		78.02
Canada	1995	29619002	27969.67291		78.14
Canada	1996	29983162	28074.83649		78.4
Canada	1997	30305843	28954.92589		78.61
Canada	1998	30628924	29837.45806		78.83
Canada	1999	30957019	31154.85646		79.06
Canada	2000	31278097	32448.60764		79.42
Canada	2001	31592805	32570.56646		79.65
Canada	2002	31902268	33328.96507		79.77
Canada	2003	32207113	33635.25438		79.95
Canada	2004	32507874	34346.96551		80.25
Canada	2005	32805041	35078		80.36
Canada	2007	33390141	36319.23501		80.653
Cape Verde	1952	155037	594.7341659	Africa	48.48
