country	continent	year	lifeExp
Australia	NA	1957	70.33
Australia	NA	1958	70.88
Australia	NA	1959	70.45
Australia	NA	1960	70.89
Australia	NA	1961	71.16
Australia	NA	1962	70.93
Australia	NA	1963	70.99
Australia	NA	1964	70.65
Australia	NA	1965	70.98
Australia	NA	1966	70.82
Australia	NA	1967	71.1
Australia	NA	1968	70.73
Australia	NA	1969	71.14
Australia	NA	1970	70.81
Australia	NA	1971	71.41
Australia	NA	1972	71.93
Australia	NA	1973	72.14
Australia	NA	1974	71.89
Australia	NA	1975	72.84
Australia	NA	1976	72.88
Australia	NA	1977	73.49
Australia	NA	1978	73.88
Australia	NA	1979	74.44
Australia	NA	1980	74.6
Australia	NA	1981	74.97
Australia	NA	1982	74.74
Australia	NA	1983	75.55
Australia	NA	1984	76.02
Australia	NA	1985	75.46
Australia	NA	1986	76.13
Australia	NA	1987	76.32
Australia	NA	1988	76.36
Australia	NA	1989	76.46
Australia	NA	1990	77.06
Australia	NA	1991	77.55
Australia	NA	1992	77.56
Australia	NA	1993	78.1
Australia	NA	1994	78.1
Australia	NA	1995	78.49
Australia	NA	1996	78.56
Australia	NA	1997	78.83
Australia	NA	1998	79.33
Australia	NA	1999	79.58
Australia	NA	2000	79.99
Australia	NA	2001	80.35
Australia	NA	2002	80.37
Australia	NA	2003	80.78
Australia	NA	2004	81.15
Australia	NA	2007	81.235
Austria	Europe	1950	64.88
Austria	Europe	1951	65.26
Austria	Europe	1952	66.8
Austria	Europe	1953	67.29
Austria	Europe	1954	67.32
Austria	Europe	1955	67.6
Austria	Europe	1956	67.72
Austria	Europe	1957	67.48
Austria	Europe	1958	68.49
Austria	Europe	1959	68.42
Austria	Europe	1960	68.78
Austria	Europe	1961	69.75
Austria	Europe	1962	69.54
Austria	Europe	1963	69.67
Austria	Europe	1964	70.16
Austria	Europe	1965	69.95
Austria	Europe	1966	70.26
Austria	Europe	1967	70.14
Austria	Europe	1968	70.29
Austria	Europe	1969	70.06
Austria	Europe	1970	70.11
Austria	Europe	1971	70.31
Austria	Europe	1972	70.63
Austria	Europe	1973	71.21
Austria	Europe	1974	71.2
Austria	Europe	1975	71.33
Austria	Europe	1976	71.82
Austria	Europe	1977	72.17
Austria	Europe	1978	72.25
Austria	Europe	1979	72.56
Austria	Europe	1980	72.7
Austria	Europe	1981	73.02
Austria	Europe	1982	73.18
Austria	Europe	1983	73.25
Austria	Europe	1984	73.79
Austria	Europe	1985	74.01
Austria	Europe	1986	74.49
Austria	Europe	1987	74.94
Austria	Europe	1988	75.41
Austria	Europe	1989	75.5
Austria	Europe	1990	75.77
Austria	Europe	1991	75.83
Austria	Europe	1992	76.04
Austria	Europe	1993	76.27
Austria	Europe	1994	76.6
Austria	Europe	1995	76.84
Austria	Europe	1996	77.1
Austria	Europe	1997	77.51
Austria	Europe	1998	77.88
Austria	Europe	1999	78.06
Austria	Europe	2000	78.35
Austria	Europe	2001	78.85
Austria	Europe	2002	78.98
Austria	Europe	2003	78.98
Austria	Europe	2004	79.49
Austria	Europe	2005	79.66
Austria	Europe	2007	79.829
Azerbaijan	Asia	1952	57.961
Azerbaijan	Asia	1957	60.008
Azerbaijan	Asia	1962	62.068
Azerbaijan	Asia	1967	64.111
Azerbaijan	Asia	1972	65.627
Azerbaijan	Asia	1977	65.152
Azerbaijan	Asia	1982	65
Azerbaijan	Asia	1987	66.089
Azerbaijan	Asia	1992	65.623
Azerbaijan	Asia	1997	66.328
Azerbaijan	Asia	2002	66.844
Azerbaijan	Asia	2007	67.487
Bahamas, The	NA	1952	59.846
Bahamas, The	NA	1957	62.405
Bahamas, The	NA	1962	64.209
Bahamas, The	NA	1967	65.795
Bahamas, The	NA	1972	66.515
Bahamas, The	NA	1977	67.199
Bahamas, The	NA	1982	67.874
Bahamas, The	NA	1987	69.524
Bahamas, The	NA	1992	69.171
Bahamas, The	NA	1997	68.472
Bahamas, The	NA	2002	71.068
Bahamas, The	NA	2007	73.495
Bahrain	Asia	1952	50.939
Bahrain	Asia	1957	53.832
Bahrain	Asia	1962	56.923
Bahrain	Asia	1967	59.923
Bahrain	Asia	1972	63.3
Bahrain	Asia	1977	65.593
Bahrain	Asia	1982	69.052
Bahrain	Asia	1987	70.75
Bahrain	Asia	1992	72.601
Bahrain	Asia	1997	73.925
Bahrain	Asia	2002	74.795
Bahrain	Asia	2007	75.635
Bangladesh	Asia	1952	37.484
Bangladesh	Asia	1957	39.348
Bangladesh	Asia	1962	41.216
Bangladesh	Asia	1967	43.453
Bangladesh	Asia	1972	45.252
Bangladesh	Asia	1977	46.923
Bangladesh	Asia	1982	50.009
Bangladesh	Asia	1987	52.819
Bangladesh	Asia	1992	56.018
Bangladesh	Asia	1997	59.412
Bangladesh	Asia	2002	62.013
Bangladesh	Asia	2007	64.062
Barbados	NA	1952	57.22
Barbados	NA	1957	62.57
Barbados	NA	1962	65.87
Barbados	NA	1967	67.62
Barbados	NA	1972	69.42
Barbados	NA	1977	71.27
Barbados	NA	1982	72.695
Barbados	NA	1987	74.027
Barbados	NA	1992	74.894
Barbados	NA	1997	74.912
Barbados	NA	2002	75.97
Barbados	NA	2007	77.296
Belarus	FSU	1952	65.9
Belarus	FSU	1957	67.9
Belarus	FSU	1959	69.06
Belarus	FSU	1960	71.85
Belarus	FSU	1961	72.57
Belarus	FSU	1962	71.29
Belarus	FSU	1963	71.95
Belarus	FSU	1964	73.48
Belarus	FSU	1965	73.02
Belarus	FSU	1966	73.38
Belarus	FSU	1967	73.13
Belarus	FSU	1968	73.24
Belarus	FSU	1969	72.84
Belarus	FSU	1970	72.32
Belarus	FSU	1971	72.96
Belarus	FSU	1972	72.67
Belarus	FSU	1973	72.71
Belarus	FSU	1974	73.01
Belarus	FSU	1975	72.08
Belarus	FSU	1976	71.92
Belarus	FSU	1977	71.86
Belarus	FSU	1978	71.72
Belarus	FSU	1979	71.32
Belarus	FSU	1980	71.08
Belarus	FSU	1981	71.36
Belarus	FSU	1982	71.49
Belarus	FSU	1983	71.28
Belarus	FSU	1984	70.65
Belarus	FSU	1985	70.86
Belarus	FSU	1986	72.25
Belarus	FSU	1987	72.15
Belarus	FSU	1988	71.89
Belarus	FSU	1989	71.68
Belarus	FSU	1990	71.15
Belarus	FSU	1991	70.58
Belarus	FSU	1992	70.17
Belarus	FSU	1993	69.05
Belarus	FSU	1994	68.82
Belarus	FSU	1995	68.43
Belarus	FSU	1996	68.56
Belarus	FSU	1997	68.37
Belarus	FSU	1998	68.38
Belarus	FSU	1999	67.97
Belarus	FSU	2000	69
Belarus	FSU	2001	68.6
Belarus	FSU	2002	68.16
Belarus	FSU	2003	68.7
Belarus	FSU	2004	69.1
Belarus	FSU	2005	68.87
Belarus	FSU	2007	69.027
Belgium	Europe	1950	66.35
Belgium	Europe	1951	66.8
Belgium	Europe	1952	68
Belgium	Europe	1953	68.37
Belgium	Europe	1954	68.63
Belgium	Europe	1955	68.58
Belgium	Europe	1956	68.87
Belgium	Europe	1957	69.24
Belgium	Europe	1958	69.93
Belgium	Europe	1959	70.33
Belgium	Europe	1960	69.65
Belgium	Europe	1961	70.52
Belgium	Europe	1962	70.25
Belgium	Europe	1963	70.06
Belgium	Europe	1964	70.73
Belgium	Europe	1965	70.58
Belgium	Europe	1966	70.65
Belgium	Europe	1967	70.94
Belgium	Europe	1968	70.63
Belgium	Europe	1969	70.71
Belgium	Europe	1970	70.97
Belgium	Europe	1971	71.1
Belgium	Europe	1972	71.44
Belgium	Europe	1973	71.65
Belgium	Europe	1974	72.01
Belgium	Europe	1975	72
Belgium	Europe	1976	72.15
Belgium	Europe	1977	72.8
Belgium	Europe	1978	72.75
Belgium	Europe	1979	73.24
Belgium	Europe	1980	73.29
Belgium	Europe	1981	73.7
Belgium	Europe	1982	73.93
Belgium	Europe	1983	73.93
Belgium	Europe	1984	74.43
Belgium	Europe	1985	74.54
Belgium	Europe	1986	74.74
Belgium	Europe	1987	75.35
Belgium	Europe	1988	75.66
Belgium	Europe	1989	75.73
Belgium	Europe	1990	76.14
Belgium	Europe	1991	76.3
Belgium	Europe	1992	76.46
Belgium	Europe	1993	76.48
Belgium	Europe	1994	76.82
Belgium	Europe	1995	76.97
Belgium	Europe	1996	77.31
Belgium	Europe	1997	77.53
Belgium	Europe	1998	77.62
Belgium	Europe	1999	77.8
Belgium	Europe	2000	77.91
Belgium	Europe	2001	78.22
Belgium	Europe	2002	78.32
Belgium	Europe	2003	78.47
Belgium	Europe	2004	79.11
Belgium	Europe	2005	79.2
Belgium	Europe	2007	79.441
Belize	NA	1950	57.673
Belize	NA	1952	57.673
Belize	NA	1957	60.18
Belize	NA	1962	62.678
Belize	NA	1967	65.184
Belize	NA	1972	67.589
Belize	NA	1977	69.747
Belize	NA	1982	71.031
Belize	NA	1987	71.879
Belize	NA	1992	72.522
Belize	NA	1997	74.405
Belize	NA	2002	75.586
Belize	NA	2007	76.121
Benin	Africa	1952	38.223
Benin	Africa	1957	40.358
Benin	Africa	1962	42.618
Benin	Africa	1967	44.885
Benin	Africa	1972	47.014
Benin	Africa	1977	49.19
Benin	Africa	1982	50.904
Benin	Africa	1987	52.337
Benin	Africa	1992	53.919
Benin	Africa	1997	54.777
Benin	Africa	2002	54.406
Benin	Africa	2007	56.728
Bhutan	Asia	1952	36.101
Bhutan	Asia	1957	36.614
Bhutan	Asia	1962	37.736
Bhutan	Asia	1967	39.491
Bhutan	Asia	1972	41.837
Bhutan	Asia	1977	44.708
Bhutan	Asia	1982	47.872
Bhutan	Asia	1987	50.717
Bhutan	Asia	1992	54.471
Bhutan	Asia	1997	58.929
Bhutan	Asia	2002	63.458
Bhutan	Asia	2007	65.625
Bolivia	Americas	1952	40.414
Bolivia	Americas	1957	41.89
Bolivia	Americas	1962	43.428
Bolivia	Americas	1967	45.032
Bolivia	Americas	1972	46.714
Bolivia	Americas	1977	50.023
Bolivia	Americas	1982	53.859
Bolivia	Americas	1987	57.251
Bolivia	Americas	1992	59.957
Bolivia	Americas	1997	62.05
Bolivia	Americas	2002	63.883
Bolivia	Americas	2007	65.554
Bosnia and Herzegovina	Europe	1952	53.82
Bosnia and Herzegovina	Europe	1957	58.45
Bosnia and Herzegovina	Europe	1962	61.93
Bosnia and Herzegovina	Europe	1967	64.79
Bosnia and Herzegovina	Europe	1972	67.45
Bosnia and Herzegovina	Europe	1977	69.86
Bosnia and Herzegovina	Europe	1982	70.69
Bosnia and Herzegovina	Europe	1987	71.14
Bosnia and Herzegovina	Europe	1992	72.178
Bosnia and Herzegovina	Europe	1997	73.244
Bosnia and Herzegovina	Europe	2002	74.09
Bosnia and Herzegovina	Europe	2007	74.852
Botswana	Africa	1952	47.622
Botswana	Africa	1957	49.618
Botswana	Africa	1962	51.52
Botswana	Africa	1967	53.298
Botswana	Africa	1972	56.024
Botswana	Africa	1977	59.319
Botswana	Africa	1982	61.484
Botswana	Africa	1987	63.622
Botswana	Africa	1992	62.745
Botswana	Africa	1997	52.556
Botswana	Africa	2002	46.634
Botswana	Africa	2007	50.728
Brazil	Americas	1952	50.917
Brazil	Americas	1957	53.285
Brazil	Americas	1962	55.665
Brazil	Americas	1967	57.632
Brazil	Americas	1972	59.504
Brazil	Americas	1977	61.489
Brazil	Americas	1982	63.336
Brazil	Americas	1987	65.205
Brazil	Americas	1992	67.057
Brazil	Americas	1997	69.388
Brazil	Americas	2002	71.006
Brazil	Americas	2007	72.39
Brunei	Asia	1952	60.36
Brunei	Asia	1957	61.49
Brunei	Asia	1962	62.97
Brunei	Asia	1967	64.94
Brunei	Asia	1972	68.34
Brunei	Asia	1977	69.66
Brunei	Asia	1982	71.62
Brunei	Asia	1987	73.2
Brunei	Asia	1992	74.471
Brunei	Asia	1997	75.465
Brunei	Asia	2002	76.315
Brunei	Asia	2007	77.118
Bulgaria	Europe	1950	61.39
Bulgaria	Europe	1951	60.63
Bulgaria	Europe	1952	59.6
Bulgaria	Europe	1953	64.14
Bulgaria	Europe	1954	64.4
Bulgaria	Europe	1955	64.81
Bulgaria	Europe	1956	65.21
Bulgaria	Europe	1957	66.61
Bulgaria	Europe	1958	68.71
Bulgaria	Europe	1959	66.57
Bulgaria	Europe	1960	69.18
Bulgaria	Europe	1961	70.22
Bulgaria	Europe	1962	69.51
Bulgaria	Europe	1963	70.34
Bulgaria	Europe	1964	71.14
Bulgaria	Europe	1965	71.3
Bulgaria	Europe	1966	71.23
Bulgaria	Europe	1967	70.42
Bulgaria	Europe	1968	71.25
Bulgaria	Europe	1969	70.43
Bulgaria	Europe	1970	71.27
Bulgaria	Europe	1971	70.87
Bulgaria	Europe	1972	70.9
Bulgaria	Europe	1973	71.34
Bulgaria	Europe	1974	71.2
Bulgaria	Europe	1975	71.05
Bulgaria	Europe	1976	71.38
Bulgaria	Europe	1977	70.81
Bulgaria	Europe	1978	71.17
Bulgaria	Europe	1979	71.27
Bulgaria	Europe	1980	71.1
Bulgaria	Europe	1981	71.49
Bulgaria	Europe	1982	71.08
Bulgaria	Europe	1983	71.25
Bulgaria	Europe	1984	71.35
Bulgaria	Europe	1985	71.07
Bulgaria	Europe	1986	71.55
Bulgaria	Europe	1987	71.34
Bulgaria	Europe	1988	71.4
Bulgaria	Europe	1989	71.46
Bulgaria	Europe	1990	71.31
Bulgaria	Europe	1991	71.18
Bulgaria	Europe	1992	71.19
Bulgaria	Europe	1993	71.18
Bulgaria	Europe	1994	70.85
Bulgaria	Europe	1995	70.95
Bulgaria	Europe	1996	70.85
Bulgaria	Europe	1997	70.32
Bulgaria	Europe	1998	70.91
Bulgaria	Europe	1999	71.57
Bulgaria	Europe	2000	71.59
Bulgaria	Europe	2001	71.9
Bulgaria	Europe	2002	72.14
Bulgaria	Europe	2003	72.35
Bulgaria	Europe	2004	72.54
Bulgaria	Europe	2005	72.52
Bulgaria	Europe	2007	73.005
Burkina Faso	Africa	1952	31.975
Burkina Faso	Africa	1957	34.906
Burkina Faso	Africa	1962	37.814
Burkina Faso	Africa	1967	40.697
Burkina Faso	Africa	1972	43.591
Burkina Faso	Africa	1977	46.137
Burkina Faso	Africa	1982	48.122
Burkina Faso	Africa	1987	49.557
Burkina Faso	Africa	1992	50.26
Burkina Faso	Africa	1997	50.324
Burkina Faso	Africa	2002	50.65
Burkina Faso	Africa	2007	52.295
Burundi	Africa	1952	39.031
Burundi	Africa	1957	40.533
Burundi	Africa	1962	42.045
Burundi	Africa	1967	43.548
Burundi	Africa	1972	44.057
Burundi	Africa	1977	45.91
Burundi	Africa	1982	47.471
Burundi	Africa	1987	48.211
Burundi	Africa	1992	44.736
Burundi	Africa	1997	45.326
Burundi	Africa	2002	47.36
Burundi	Africa	2007	49.58
Cambodia	Asia	1952	39.417
Cambodia	Asia	1957	41.366
Cambodia	Asia	1962	43.415
Cambodia	Asia	1967	45.415
Cambodia	Asia	1972	40.317
Cambodia	Asia	1977	31.22
Cambodia	Asia	1982	50.957
Cambodia	Asia	1987	53.914
Cambodia	Asia	1992	55.803
Cambodia	Asia	1997	56.534
Cambodia	Asia	2002	56.752
Cambodia	Asia	2007	59.723
Cameroon	Africa	1952	38.523
Cameroon	Africa	1957	40.428
Cameroon	Africa	1962	42.643
Cameroon	Africa	1967	44.799
Cameroon	Africa	1972	47.049
Cameroon	Africa	1977	49.355
Cameroon	Africa	1982	52.961
Cameroon	Africa	1987	54.985
Cameroon	Africa	1992	54.314
Cameroon	Africa	1997	52.199
Cameroon	Africa	2002	49.856
Cameroon	Africa	2007	50.43
Canada	NA	1950	68.28
Canada	NA	1951	68.55
Canada	NA	1952	68.75
Canada	NA	1953	69.13
Canada	NA	1954	69.99
Canada	NA	1955	70.05
Canada	NA	1956	70.04
Canada	NA	1957	69.96
Canada	NA	1958	70.62
Canada	NA	1959	70.66
Canada	NA	1960	71.04
Canada	NA	1961	71.27
Canada	NA	1962	71.3
Canada	NA	1963	71.31
Canada	NA	1964	71.69
Canada	NA	1965	71.79
Canada	NA	1966	71.92
Canada	NA	1967	72.13
Canada	NA	1968	72.29
Canada	NA	1969	72.45
Canada	NA	1970	72.65
Canada	NA	1971	72.98
Canada	NA	1972	72.88
Canada	NA	1973	73.11
Canada	NA	1974	73.19
Canada	NA	1975	73.49
Canada	NA	1976	73.92
Canada	NA	1977	74.21
Canada	NA	1978	74.54
Canada	NA	1979	74.9
Canada	NA	1980	75.14
Canada	NA	1981	75.55
Canada	NA	1982	75.76
Canada	NA	1983	76.13
Canada	NA	1984	76.43
Canada	NA	1985	76.41
Canada	NA	1986	76.56
Canada	NA	1987	76.86
Canada	NA	1988	76.94
Canada	NA	1989	77.2
Canada	NA	1990	77.51
Canada	NA	1991	77.69
Canada	NA	1992	77.95
Canada	NA	1993	77.83
Canada	NA	1994	78.02
Canada	NA	1995	78.14
Canada	NA	1996	78.4
Canada	NA	1997	78.61
Canada	NA	1998	78.83
Canada	NA	1999	79.06
Canada	NA	2000	79.42
Canada	NA	2001	79.65
Canada	NA	2002	79.77
Canada	NA	2003	79.95
Canada	NA	2004	80.25
Canada	NA	2005	80.36
Canada	NA	2007	80.653
Cape Verde	Africa	1952	48.48
Cape Verde	Africa	1957	50.98
Cape Verde	Africa	1962	52.98
Cape Verde	Africa	1967	55.48
Cape Verde	Africa	1972	57.48
Cape Verde	Africa	1977	59.98
Cape Verde	Africa	1982	61.766
Cape Verde	Africa	1987	64.078
Cape Verde	Africa	1992	66.422
Cape Verde	Africa	1997	68.646
Cape Verde	Africa	2002	70.203
Cape Verde	Africa	2007	71.677
Central African Republic	Africa	1952	35.463
Central African Republic	Africa	1957	37.464
Central African Republic	Africa	1962	39.475
Central African Republic	Africa	1967	41.478
Central African Republic	Africa	1972	43.457
Central African Republic	Africa	1977	46.775
Central African Republic	Africa	1982	48.295
Central African Republic	Africa	1987	50.485
Central African Republic	Africa	1992	49.396
Central African Republic	Africa	1997	46.066
Central African Republic	Africa	2002	43.308
Central African Republic	Africa	2007	44.741
Chad	Africa	1952	38.092
Chad	Africa	1957	39.881
Chad	Africa	1962	41.716
Chad	Africa	1967	43.601
Chad	Africa	1972	45.569
Chad	Africa	1977	47.383
Chad	Africa	1982	49.517
Chad	Africa	1987	51.051
Chad	Africa	1992	51.724
Chad	Africa	1997	51.573
Chad	Africa	2002	50.525
Chad	Africa	2007	50.651
Channel Islands	Europe	1952	70.566
Channel Islands	Europe	1957	71.036
Channel Islands	Europe	1962	71.5
Channel Islands	Europe	1967	71.971
Channel Islands	Europe	1972	72.438
Channel Islands	Europe	1977	73.069
Channel Islands	Europe	1982	74.123
Channel Islands	Europe	1987	75.438
Channel Islands	Europe	1992	76.769
Channel Islands	Europe	1997	77.558
Channel Islands	Europe	2002	78.327
Channel Islands	Europe	2007	79.048
Chile	Americas	1952	54.745
Chile	Americas	1957	56.074
Chile	Americas	1962	57.924
Chile	Americas	1967	60.523
Chile	Americas	1972	63.441
Chile	Americas	1977	67.052
Chile	Americas	1982	70.565
Chile	Americas	1987	72.492
Chile	Americas	1992	74.126
Chile	Americas	1997	75.816
Chile	Americas	2002	77.86
Chile	Americas	2007	78.553
China	Asia	1953	44.55952
China	Asia	1954	46.4656
China	Asia	1955	48.02216
China	Asia	1956	50.44528
China	Asia	1957	50.54896
China	Asia	1958	50.1584
China	Asia	1959	38.40448
China	Asia	1960	31.63176
China	Asia	1961	34.10448
China	Asia	1962	44.50136
China	Asia	1963	51.89912
China	Asia	1964	53.32072
China	Asia	1965	55.6468
China	Asia	1966	56.8032
China	Asia	1967	58.38112
China	Asia	1968	59.4052
China	Asia	1969	60.9652
China	Asia	1970	62.6508
China	Asia	1971	63.73736
China	Asia	1972	63.11888
China	Asia	1973	62.7808
China	Asia	1974	62.4996
China	Asia	1975	62.69888
China	Asia	1976	62.43736
China	Asia	1977	63.96736
China	Asia	1978	64.24432
China	Asia	1979	65.08536
China	Asia	1980	66.12216
China	Asia	1981	66.44976
China	Asia	1982	65.525
China	Asia	1987	67.274
China	Asia	1992	68.69
China	Asia	1997	70.426
China	Asia	2002	72.028
China	Asia	2007	72.961
Colombia	Americas	1952	50.643
Colombia	Americas	1957	55.118
Colombia	Americas	1962	57.863
Colombia	Americas	1967	59.963
Colombia	Americas	1972	61.623
Colombia	Americas	1977	63.837
Colombia	Americas	1982	66.653
Colombia	Americas	1987	67.768
Colombia	Americas	1992	68.421
Colombia	Americas	1997	70.313
Colombia	Americas	2002	71.682
Colombia	Americas	2007	72.889
Comoros	Africa	1952	40.715
Comoros	Africa	1957	42.46
Comoros	Africa	1962	44.467
Comoros	Africa	1967	46.472
Comoros	Africa	1972	48.944
Comoros	Africa	1977	50.939
Comoros	Africa	1982	52.933
Comoros	Africa	1987	54.926
Comoros	Africa	1992	57.939
Comoros	Africa	1997	60.66
Comoros	Africa	2002	62.974
Comoros	Africa	2007	65.152
Congo, Dem. Rep.	Africa	1952	39.143
Congo, Dem. Rep.	Africa	1957	40.652
Congo, Dem. Rep.	Africa	1962	42.122
Congo, Dem. Rep.	Africa	1967	44.056
Congo, Dem. Rep.	Africa	1972	45.989
Congo, Dem. Rep.	Africa	1977	47.804
Congo, Dem. Rep.	Africa	1982	47.784
Congo, Dem. Rep.	Africa	1987	47.412
Congo, Dem. Rep.	Africa	1992	45.548
Congo, Dem. Rep.	Africa	1997	42.587
Congo, Dem. Rep.	Africa	2002	44.966
Congo, Dem. Rep.	Africa	2007	46.462
Congo, Rep.	Africa	1952	42.111
Congo, Rep.	Africa	1957	45.053
Congo, Rep.	Africa	1962	48.435
Congo, Rep.	Africa	1967	52.04
Congo, Rep.	Africa	1972	54.907
Congo, Rep.	Africa	1977	55.625
Congo, Rep.	Africa	1982	56.695
Congo, Rep.	Africa	1987	57.47
Congo, Rep.	Africa	1992	56.433
Congo, Rep.	Africa	1997	52.962
Congo, Rep.	Africa	2002	52.97
Congo, Rep.	Africa	2007	55.322
Costa Rica	Americas	1950	55.6
Costa Rica	Americas	1952	57.206
Costa Rica	Americas	1957	60.026
Costa Rica	Americas	1962	62.842
Costa Rica	Americas	1967	65.424
Costa Rica	Americas	1972	67.849
Costa Rica	Americas	1977	70.75
Costa Rica	Americas	1982	73.45
Costa Rica	Americas	1987	74.752
Costa Rica	Americas	1992	75.713
Costa Rica	Americas	1997	77.26
Costa Rica	Americas	2002	78.123
Costa Rica	Americas	2007	78.782
Cote d'Ivoire	Africa	1952	40.477
Cote d'Ivoire	Africa	1957	42.469
Cote d'Ivoire	Africa	1962	44.93
Cote d'Ivoire	Africa	1967	47.35
Cote d'Ivoire	Africa	1972	49.801
Cote d'Ivoire	Africa	1977	52.374
Cote d'Ivoire	Africa	1982	53.983
Cote d'Ivoire	Africa	1987	54.655
Cote d'Ivoire	Africa	1992	52.044
Cote d'Ivoire	Africa	1997	47.991
Cote d'Ivoire	Africa	2002	46.832
Cote d'Ivoire	Africa	2007	48.328
Croatia	Europe	1952	61.21
Croatia	Europe	1957	64.77
Croatia	Europe	1962	67.13
Croatia	Europe	1967	68.5
Croatia	Europe	1972	69.61
Croatia	Europe	1977	70.64
Croatia	Europe	1982	70.46
Croatia	Europe	1987	71.52
Croatia	Europe	1992	72.527
Croatia	Europe	1997	73.68
Croatia	Europe	2002	74.876
Croatia	Europe	2007	75.748
Cuba	Americas	1950	55.714
Cuba	Americas	1952	59.421
Cuba	Americas	1957	62.325
Cuba	Americas	1962	65.246
Cuba	Americas	1967	68.29
Cuba	Americas	1972	70.723
Cuba	Americas	1977	72.649
Cuba	Americas	1982	73.717
Cuba	Americas	1987	74.174
Cuba	Americas	1992	74.414
Cuba	Americas	1997	76.151
Cuba	Americas	2002	77.158
Cuba	Americas	2007	78.273
Cyprus	Europe	1952	66.99
Cyprus	Europe	1957	68.09
Cyprus	Europe	1962	69.2
Cyprus	Europe	1967	70.3
Cyprus	Europe	1972	71.41
Cyprus	Europe	1977	73.7
Cyprus	Europe	1982	75
Cyprus	Europe	1987	76.136
Cyprus	Europe	1992	76.826
Cyprus	Europe	1997	77.95
Cyprus	Europe	2002	78.957
Cyprus	Europe	2007	79.035
Czech Republic	Europe	1950	64.43
Czech Republic	Europe	1951	65.25
Czech Republic	Europe	1952	66.87
Czech Republic	Europe	1953	67.56
Czech Republic	Europe	1954	68.05
Czech Republic	Europe	1955	68.97
Czech Republic	Europe	1956	69.37
Czech Republic	Europe	1957	69.03
Czech Republic	Europe	1958	69.94
Czech Republic	Europe	1959	69.92
Czech Republic	Europe	1960	70.46
Czech Republic	Europe	1961	70.64
Czech Republic	Europe	1962	69.9
Czech Republic	Europe	1963	70.42
Czech Republic	Europe	1964	70.58
Czech Republic	Europe	1965	70.27
Czech Republic	Europe	1966	70.49
Czech Republic	Europe	1967	70.38
Czech Republic	Europe	1968	69.94
Czech Republic	Europe	1969	69.44
Czech Republic	Europe	1970	69.53
Czech Republic	Europe	1971	69.77
Czech Republic	Europe	1972	70.29
Czech Republic	Europe	1973	70.13
Czech Republic	Europe	1974	70.21
Czech Republic	Europe	1975	70.55
